	GA1	GA15	GA22	GA24	GA30	GA34	GA36	GA38	GA44	GA46	GA5	GA50	GA57	GA6	GA66	GA68	GA69	GA7	GA70	GA73	GA75	GA76	GA80	GB104	GB114	GB117	GB127	GB129	GB131	GB133	GB134	GB135	GB140	GB142	GB147	GB149	GB153	GB157	GB180	GB181	GB182	GB99	GCDF199	GCDF203	GCDF208	GCDF210	GCDF213	GCDF217	GCDF222	GCDF225	GCDF229	GCDF232	GCDF235	GCDF236	GCDF238	GCDF239	GCDF240	GCDF241	GCDF243	GCDF245	GCDF248	GCDF249	GCDF251	GCDF262	GCDF263	GCDF265	GCDF266	GCDF269	GCDF272	GCDF274	GCDF277	GCDF280	GCDF285
GA1	0	0.151900826446281	0.416069788797062	0.0810284664830119	0.299853076216713	0.119669421487603	0.237392102846648	0.647456382001836	0.148760330578512	0.145601469237833	0.0368778696051423	0.218236914600551	0.141707988980716	0.101763085399449	0.20198347107438	0.283011937557392	0.73643709825528	0.0431955922865014	0.199375573921029	0.778824609733701	0.128686868686869	0.0881175390266299	0.366060606060606	0.0484297520661157	0.564977043158861	0.186078971533517	0.0408080808080808	0.0437832874196511	0.100624426078971	0.107750229568411	0.332525252525253	0.128484848484848	0.0440036730945822	0.190376492194674	0.071147842056933	0.0448852157943067	0.102424242424242	0.116694214876033	0.131625344352617	0.188797061524334	0.0565656565656566	0.162516069788797	0.0675482093663912	0.0433792470156106	0.164334251606979	0.241744719926538	0.0456749311294766	0.0989531680440771	0.0543617998163452	0.126299357208448	0.165840220385675	0.231258034894398	0.116841138659321	0.0508356290174472	0.0687603305785124	0.103434343434343	0.11168044077135	0.139834710743802	0.14396694214876	0.157887970615243	0.155224977043159	0.190413223140496	0.122020202020202	0.0546189164370983	0.0580532598714417	0.1110927456382	0.0579430670339761	0.142001836547291	0.108723599632691	0.072415059687787	0.182809917355372	0.0941230486685033	0.168503213957759
GA15	0.151900826446281	0	0.274104683195592	0.172966023875115	0.159834710743802	0.167750229568411	0.0969329660238751	0.50516069788797	0.248374655647383	0.188484848484848	0.146703397612488	0.098236914600551	0.184775022956841	0.161230486685032	0.242203856749311	0.141359044995409	0.594141414141414	0.145913682277319	0.0936455463728191	0.636492194674013	0.174086317722681	0.188062442607897	0.230596877869605	0.157355371900826	0.422644628099174	0.0658769513314968	0.147217630853994	0.150119375573921	0.20020202020202	0.208576675849403	0.191570247933884	0.229531680440771	0.155739210284665	0.0748760330578512	0.15267217630854	0.14593204775023	0.0838751147842057	0.16771349862259	0.23188246097337	0.0608631772268136	0.117575757575758	0.204517906336088	0.169660238751148	0.148668503213958	0.137924701561065	0.10198347107438	0.145693296602388	0.199302112029385	0.14633608815427	0.226299357208448	0.265289256198347	0.332176308539945	0.217410468319559	0.153278236914601	0.151404958677686	0.159761248852158	0.164830119375574	0.24139577594123	0.186519742883379	0.259338842975207	0.255537190082645	0.292047750229568	0.223250688705234	0.149954086317723	0.147860422405877	0.162920110192837	0.162607897153352	0.242112029384757	0.208595041322314	0.173021120293848	0.28236914600551	0.155280073461892	0.269348025711662
GA22	0.416069788797062	0.274104683195592	0	0.414967860422406	0.190468319559229	0.416602387511479	0.185252525252525	0.233406795224977	0.415904499540863	0.419247015610652	0.415775941230487	0.211864095500459	0.415629017447199	0.417116620752984	0.427015610651974	0.140183654729109	0.322442607897153	0.415353535353535	0.248135904499541	0.364628099173554	0.416528925619835	0.415390266299357	0.101414141414141	0.416124885215794	0.153223140495868	0.235408631772268	0.416290174471993	0.416896235078053	0.416914600550964	0.415188246097337	0.0926354453627181	0.415390266299357	0.417722681359045	0.237153351698806	0.416951331496786	0.415794306703398	0.340422405876951	0.416749311294766	0.415280073461892	0.2344536271809	0.380385674931129	0.422681359044995	0.416620752984389	0.416988062442608	0.351937557392103	0.181303948576676	0.415775941230487	0.414214876033058	0.415720844811754	0.415867768595041	0.417043158861341	0.448264462809917	0.415188246097337	0.41623507805326	0.417061524334251	0.416694214876033	0.417337006427916	0.415004591368228	0.417704315886134	0.415151515151515	0.415280073461892	0.420312213039486	0.414820936639118	0.4166391184573	0.416804407713499	0.41684113865932	0.415059687786961	0.415573921028466	0.415555555555556	0.415022956841139	0.418677685950413	0.417153351698806	0.415977961432507
GA24	0.0810284664830119	0.172966023875115	0.414967860422406	0	0.288484848484848	0.182056932966024	0.242479338842975	0.647254361799816	0.121230486685032	0.212690541781451	0.0843342516069789	0.264187327823692	0.199577594123049	0.167621671258035	0.270541781450872	0.281910009182737	0.736326905417815	0.0891460055096419	0.260771349862259	0.778787878787879	0.191239669421488	0.0638383838383838	0.360716253443526	0.0676951331496786	0.564977043158861	0.181377410468319	0.0697337006427916	0.0628282828282828	0.0757759412304867	0.085821854912764	0.331515151515152	0.102240587695133	0.0710009182736456	0.183746556473829	0.132396694214876	0.093921028466483	0.163085399449036	0.182056932966024	0.105711662075298	0.219485766758494	0.0868686868686869	0.231368227731864	0.0567309458218549	0.0988980716253443	0.232488521579431	0.244426078971534	0.0781267217630854	0.0732047750229568	0.105583103764922	0.100128558310376	0.136088154269972	0.198787878787879	0.089127640036731	0.0578328741965105	0.126078971533517	0.167180899908173	0.17603305785124	0.102736455463728	0.208099173553719	0.120312213039486	0.12376492194674	0.152323232323232	0.0837465564738292	0.112525252525253	0.106593204775023	0.173406795224977	0.0545087235996327	0.112708907254362	0.0790449954086318	0.0489623507805326	0.153204775022957	0.154361799816345	0.137337006427915
GA30	0.299853076216713	0.159834710743802	0.190468319559229	0.288484848484848	0	0.302240587695133	0.0818181818181818	0.41425160697888	0.34653810835629	0.306317722681359	0.302056932966024	0.104573002754821	0.293223140495868	0.300550964187328	0.317079889807163	0.0834159779614325	0.503324150596878	0.302020202020202	0.134196510560147	0.545785123966942	0.302001836547291	0.30257116620753	0.207272727272727	0.302387511478421	0.331992653810836	0.12137741046832	0.304224058769513	0.305197428833793	0.310817263544536	0.309348025711662	0.147805325987144	0.326060606060606	0.306097337006428	0.133810835629017	0.304793388429752	0.302497704315886	0.224058769513315	0.30040404040404	0.329164370982553	0.117465564738292	0.267952249770431	0.305674931129477	0.305032139577594	0.304536271808999	0.23880624426079	0.0773553719008264	0.302424242424242	0.303011937557392	0.303342516069789	0.326152433425161	0.363911845730027	0.427162534435262	0.316804407713499	0.303893480257117	0.304628099173554	0.301799816345271	0.303415977961433	0.321359044995409	0.304279155188246	0.346556473829201	0.351845730027548	0.374545454545454	0.305050505050505	0.304003673094582	0.30514233241506	0.303287419651056	0.296859504132231	0.339871441689624	0.313278236914601	0.297043158861341	0.38078971533517	0.304848484848485	0.36356290174472
GA34	0.119669421487603	0.167750229568411	0.416602387511479	0.182056932966024	0.302240587695133	0	0.239338842975207	0.647603305785124	0.258053259871442	0.0394674012855831	0.105179063360882	0.212966023875115	0.0411386593204775	0.0389531680440771	0.0912947658402204	0.283856749311295	0.736657483930212	0.102295684113866	0.179540863177227	0.778898071625345	0.0330394857667585	0.197208448117539	0.375867768595041	0.155261707988981	0.565087235996327	0.216675849403122	0.123379247015611	0.137410468319559	0.20931129476584	0.217924701561065	0.335353535353535	0.238475665748393	0.14989898989899	0.222148760330579	0.0629201101928375	0.0940312213039486	0.111937557392103	0.0308539944903581	0.241616161616162	0.193351698806244	0.1421854912764	0.0559228650137741	0.17544536271809	0.0912947658402204	0.0757392102846648	0.243728191000918	0.113755739210285	0.209072543617998	0.0843893480257117	0.235794306703398	0.274894398530762	0.341744719926538	0.227033976124885	0.147842056932966	0.0644260789715335	0.0659871441689623	0.0370064279155188	0.251111111111111	0.0562350780532599	0.268980716253443	0.265105601469238	0.301120293847567	0.232157943067034	0.0781267217630854	0.0851423324150597	0.0331313131313131	0.165638200183655	0.251258034894398	0.217887970615243	0.181726354453627	0.291808999081726	0.0432139577594123	0.278879706152433
GA36	0.237392102846648	0.0969329660238751	0.185252525252525	0.242479338842975	0.0818181818181818	0.239338842975207	0	0.41325987144169	0.305711662075298	0.246868686868687	0.236069788797061	0.0695684113865932	0.241873278236915	0.239485766758494	0.281046831955923	0.0603489439853076	0.502314049586777	0.235757575757576	0.100091827364555	0.544591368227732	0.239853076216713	0.251221303948577	0.172341597796143	0.237245179063361	0.330743801652892	0.0786409550045914	0.236767676767677	0.237722681359045	0.260385674931129	0.268246097337006	0.117704315886134	0.285858585858586	0.238567493112948	0.08633608815427	0.238732782369146	0.236143250688705	0.162387511478421	0.239320477502296	0.289458218549128	0.064315886134068	0.201597796143251	0.253774104683196	0.242920110192837	0.237263544536272	0.18791551882461	0.0391735537190083	0.235922865013774	0.25921028466483	0.235941230486685	0.283820018365473	0.322442607897153	0.389807162534435	0.276584022038567	0.237704315886134	0.237851239669422	0.238751147842057	0.240844811753903	0.299320477502296	0.245289256198347	0.317245179063361	0.313186409550046	0.349733700642791	0.282222222222222	0.236877869605142	0.237373737373737	0.238310376492195	0.238328741965106	0.299467401285583	0.267823691460055	0.242736455463728	0.339540863177227	0.238034894398531	0.32712580348944
GA38	0.647456382001836	0.50516069788797	0.233406795224977	0.647254361799816	0.41425160697888	0.647603305785124	0.41325987144169	0	0.647786960514233	0.647952249770432	0.647584940312213	0.437539026629936	0.647272727272727	0.647309458218549	0.648135904499541	0.367584940312213	0.0917539026629936	0.647272727272727	0.47208448117539	0.132506887052342	0.647566574839302	0.647456382001837	0.287750229568411	0.647566574839302	0.0894949494949495	0.466097337006428	0.648062442607897	0.648429752066116	0.648411386593205	0.647272727272727	0.317318640955005	0.647474747474747	0.648888888888889	0.468191000918274	0.648154269972452	0.647695133149679	0.570394857667585	0.647419651056015	0.64732782369146	0.46198347107438	0.611827364554637	0.647438016528925	0.648154269972452	0.648172635445363	0.580275482093664	0.408650137741047	0.647511478420569	0.646574839302112	0.647548209366391	0.647731864095501	0.648246097337006	0.647309458218549	0.647382920110193	0.647970615243342	0.64811753902663	0.647456382001837	0.647640036730946	0.647254361799816	0.647750229568411	0.647254361799816	0.647401285583104	0.647254361799816	0.647254361799816	0.648007346189164	0.648393021120294	0.647713498622589	0.647272727272727	0.647603305785124	0.647658402203857	0.647309458218549	0.648099173553719	0.648264462809917	0.647346189164371
GA44	0.148760330578512	0.248374655647383	0.415904499540863	0.121230486685032	0.34653810835629	0.258053259871442	0.305711662075298	0.647786960514233	0	0.287272727272727	0.15682277318641	0.339357208448118	0.283526170798898	0.245215794306704	0.345013774104683	0.330082644628099	0.736694214876033	0.162607897153352	0.339026629935721	0.778934802571167	0.267621671258035	0.0704683195592287	0.364187327823691	0.108760330578512	0.565087235996327	0.235629017447199	0.139540863177227	0.124628099173554	0.0584205693296602	0.0474012855831038	0.332561983471074	0.0462075298438935	0.114949494949495	0.22692378328742	0.206942148760331	0.168539944903581	0.240312213039486	0.259687786960514	0.029366391184573	0.29623507805326	0.156786042240588	0.307860422405877	0.0897704315886134	0.172176308539945	0.306942148760331	0.306831955922865	0.149623507805326	0.0606795224977043	0.179816345270891	0.0384389348025712	0.0365840220385675	0.0883011937557392	0.0457667584940312	0.115500459136823	0.200550964187328	0.243728191000918	0.252011019283747	0.0527272727272727	0.282865013774105	0.0397061524334252	0.0317539026629936	0.0569513314967861	0.0643893480257117	0.186666666666667	0.180165289256198	0.2489072543618	0.101744719926538	0.0345821854912764	0.0572819100091827	0.087346189164371	0.0430853994490358	0.228833792470156	0.0402020202020202
GA46	0.145601469237833	0.188484848484848	0.419247015610652	0.212690541781451	0.306317722681359	0.0394674012855831	0.246868686868687	0.647952249770432	0.287272727272727	0	0.133443526170799	0.21862258953168	0.037465564738292	0.0546005509641873	0.0620752984389348	0.289458218549128	0.737263544536272	0.130413223140496	0.185252525252525	0.779228650137741	0.0353535353535354	0.227676767676768	0.393792470156107	0.182534435261708	0.565307621671258	0.240293847566575	0.151992653810836	0.165730027548209	0.237851239669422	0.247878787878788	0.343269054178145	0.268135904499541	0.176657483930211	0.246317722681359	0.0866299357208448	0.121744719926538	0.133498622589532	0.0436363636363636	0.271368227731864	0.203691460055096	0.168356290174472	0.0338842975206612	0.203691460055096	0.118292011019284	0.078475665748393	0.25208448117539	0.142809917355372	0.239357208448118	0.111808999081726	0.264903581267218	0.303673094582185	0.37208448117539	0.256988062442608	0.176749311294766	0.0896786042240588	0.0872727272727272	0.048852157943067	0.281965105601469	0.0626262626262626	0.299779614325069	0.295390266299357	0.33228650137741	0.263617998163453	0.104334251606979	0.113149678604224	0.0479706152433425	0.195482093663912	0.281322314049587	0.247658402203857	0.212047750229569	0.32078971533517	0.0624242424242424	0.309403122130395
