Feature ID,kingdom,phylum,class,order,family,genus,species
d3ae5e3b180c63f5fca1a99523f2bf93,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Anaplasmataceae, g__Wolbachia, s__
f9a8f7eb646316ec1a73e776ac3b8a5d,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactiplantibacillus, s__
3a31a1bc75a12419c28f6b67c9cedcb0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acetobacter, s__
983d1ca8f6a55ba907b1c79906f1d84f,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactiplantibacillus, s__
d5e253f9fd3d9fff16e51560b9ba1add,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acetobacter, s__
a47c56b57bbcbc2940d672582f8a7249,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acetobacter, s__
56c03d013d5436c3c5ec4623522dd756,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Acetobacter, s__
b7244ea7fb75511464dfe7e54d742044,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Commensalibacter, s__
5a88335ef742fc967673fb517d640d4f,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactiplantibacillus, s__
9489650ff7365fbfdac60d72947bea37,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Levilactobacillus, s__
4c56aeed6ccd9cab509a5b0b0ddcb21c,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Enterobacteriaceae, g__Escherichia-Shigella, s__
24722bfc851d97ca025ca9929d1759f0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Leuconostoc, s__
7cd026cfdf824a2798569a327ff4c19c,k__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast, s__
992a9a5d161fb980f8b657bcc6ad057e,k__Bacteria, p__Cyanobacteria, c__Cyanobacteriia, o__Chloroplast, f__Chloroplast, g__Chloroplast, s__
1ea3a104fdeda3e4bdc1974f4abb0291,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Pasteurellaceae,,
a97b9cf658a0c3736061e1185726e5fb,k__Bacteria, p__Firmicutes, c__Bacilli, o__Staphylococcales, f__Staphylococcaceae, g__Staphylococcus, s__
13037fdfb522473978de8c968c3e4f89,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__
16e2c0ef80f79b5c2136868cadbabed2,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Anaplasmataceae, g__Wolbachia, s__
e8595517e6a64d4c05ab7337c270ce15,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Burkholderiaceae, g__Ralstonia, s__
e5f1dd06cdd91ba5af30c232dcaf667d,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae, g__Pseudoxanthomonas, s__
67488c972332d47a55f2e4432c509c46,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Moraxellaceae, g__Acinetobacter, s__
45ec9d13549d1fbd5bbed81b82a6e799,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales,,,
6594c32a52548ea6c54ad2e88526a5e5,k__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__
849a4b49407d8ee9adb8a86bc407a8e4,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Bacillaceae, g__Anoxybacillus, s__
51181bbab344f4b2e98bc6c0c6708a16,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Anaplasmataceae, g__Wolbachia, s__
66813fce5de451b3536923f3bb2d81e0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae, g__Massilia, s__
