	observed_features
GA11	8.42424242424242
GA13	5.12121212121212
GA17	5.46464646464646
GA18	5.7979797979798
GA19	5.51515151515152
GA20	4.75757575757576
GA24	5
GA27	4.88888888888889
GA28	13.6060606060606
GA29	4.55555555555556
GA33	7.78787878787879
GA35	6.74747474747475
GA37	5.22222222222222
GA39	4.55555555555556
GA40	3.75757575757576
GA41	4.98989898989899
GA44	3.73737373737374
GA45	8.63636363636364
GA5	4.07070707070707
GA58	4
GA59	11.3232323232323
GA60	4.37373737373737
GA63	5.57575757575758
GA65	3
GA67	3.3030303030303
GA7	5.28282828282828
GA71	5.14141414141414
GA72	42.5353535353535
GA76	5.34343434343434
GA77	6.22222222222222
GA79	3.43434343434343
GA82	5.85858585858586
GA83	3.92929292929293
GA85	5.09090909090909
GA86	5.91919191919192
GA87	2.93939393939394
GA92	7.81818181818182
GA96	5.09090909090909
GB101	3.98989898989899
GB102	3.63636363636364
GB116	3.97979797979798
GB118	3.42424242424242
GB119	6.64646464646465
GB127	3.56565656565657
GB128	2.95959595959596
GB130	4
GB144	5.61616161616162
GB147	4.38383838383838
GB149	3.85858585858586
GB151	4.01010101010101
GB155	5.03030303030303
GB157	5.23232323232323
GB164	8
GB165	3.76767676767677
GB169	5
GB175	4
GB178	3.32323232323232
GB189	3.84848484848485
GB98	5.45454545454545
GCDF194	9.63636363636364
GCDF197	14.3535353535354
GCDF202	3.04040404040404
GCDF209	4.93939393939394
GCDF213	4
GCDF215	7.15151515151515
GCDF217	5.13131313131313
GCDF218	4.05050505050505
GCDF220	9.53535353535353
GCDF222	5.03030303030303
GCDF224	4.74747474747475
GCDF225	4.5959595959596
GCDF226	3
GCDF227	5.25252525252525
GCDF228	5.05050505050505
GCDF229	5.23232323232323
GCDF230	3.86868686868687
GCDF231	4.03030303030303
GCDF232	5.3030303030303
GCDF235	4.52525252525253
GCDF236	3.97979797979798
GCDF237	4.12121212121212
GCDF238	3.56565656565657
GCDF239	16.7979797979798
GCDF240	5.26262626262626
GCDF241	7.22222222222222
GCDF243	5.7979797979798
GCDF244	3.82828282828283
GCDF245	4.47474747474747
GCDF246	4.38383838383838
GCDF247	4.09090909090909
GCDF248	5.35353535353535
GCDF249	7.29292929292929
GCDF251	7.21212121212121
GCDF252	18.1616161616162
GCDF254	4.04040404040404
GCDF255	4.68686868686869
GCDF256	4.55555555555556
GCDF257	4.43434343434343
GCDF259	5.23232323232323
GCDF260	4.13131313131313
GCDF261	3.82828282828283
GCDF262	4.2020202020202
GCDF263	4.73737373737374
GCDF265	3.96969696969697
GCDF266	4.60606060606061
GCDF267	3.87878787878788
GCDF269	4.83838383838384
GCDF271	4.5959595959596
GCDF272	4.1010101010101
GCDF273	3.47474747474747
GCDF274	4.5050505050505
GCDF275	4.74747474747475
GCDF277	3.84848484848485
GCDF278	4.13131313131313
GCDF279	3.81818181818182
GCDF280	3.81818181818182
GCDF281	4.06060606060606
GCDF282	3.8989898989899
GCDF284	4.80808080808081
GCDF285	6.07070707070707
GCDF286	4.44444444444444
