	GA1	GA15	GA22	GA24	GA30	GA34	GA36	GA38	GA44	GA46	GA5	GA50	GA57	GA6	GA66	GA68	GA69	GA7	GA70	GA73	GA75	GA76	GA80	GB104	GB114	GB117	GB127	GB129	GB131	GB133	GB134	GB135	GB140	GB142	GB147	GB149	GB153	GB157	GB180	GB181	GB182	GB99	GCDF199	GCDF203	GCDF208	GCDF210	GCDF213	GCDF217	GCDF222	GCDF225	GCDF229	GCDF232	GCDF235	GCDF236	GCDF238	GCDF239	GCDF240	GCDF241	GCDF243	GCDF245	GCDF248	GCDF249	GCDF251	GCDF262	GCDF263	GCDF265	GCDF266	GCDF269	GCDF272	GCDF274	GCDF277	GCDF280	GCDF285
GA1	0	0.0496282089652136	0.0724206466528803	0.0229745872029549	0.0422792909949115	0.0967342249033126	0.0712848952736216	0.0761095692563539	0.0337958543589621	0.0529632729412329	0.0357981208297941	0.0681540066696177	0.0853813619475172	0.0391588993229424	0.0738302425603674	0.070180168789294	0.071522487816636	0.098466586942474	0.0431111853645004	0.101305553313307	0.0543126936512764	0.065246175109136	0.0814179055994809	0.0671790786313288	0.0930282720787959	0.043111185289242	0.0456091231017402	0.0711380972555189	0.101358172643666	0.0229745846655634	0.120367497074032	0.307136665992063	0.118137031191527	0.106224302033132	0.0655638381293175	0.0354219989644157	0.0639807394320014	0.118557312572845	0.0246725377410349	0.0439430794518704	0.0635306315327233	0.0246725378162933	0.0564303930209141	0.066041032623763	0.0706505352311363	0.0463006314115994	0.042696548569383	0.0944836295840114	0.114330835922649	0.0592715162595715	0.142330733927512	0.0915006244874964	0.055288094387512	0.0633456086495308	0.0618179689415477	0.480320727283304	0.0907987250824167	0.142142009930779	0.0813886927478392	0.0600231355338386	0.100626635184098	0.190500989575127	0.177969605276229	0.0687721484350135	0.136455979047701	0.0403373041613535	0.05209679054943	0.0776374731965438	0.0416046255315193	0.050179278496841	0.0577293524537424	0.0819752585105222	0.181612972584036
GA15	0.0496282089652136	0	0.0445089370313317	0.0276079987448574	0.00748704908171085	0.102615412550442	0.0363008358111285	0.0373811246168734	0.038440860883154	0.0559288814776775	0.0417227165942842	0.034638175834911	0.089554034060601	0.0437543236396529	0.0786589860652733	0.0349224796800902	0.0341076675539065	0.097735127735168	0.0083189435077436	0.0659845374298818	0.0583743116808961	0.0700464560415107	0.0486814162571623	0.0694897705406854	0.0557369201472311	0.00831894343248521	0.0501056216431387	0.0660210573537783	0.10513552665861	0.027607994699719	0.0842480900311711	0.310219970616427	0.114354098309772	0.066093860570379	0.065251589668068	0.0384408606573789	0.0305842461459564	0.144557637303616	0.027626235508407	0.00915083770800119	0.0291163018255523	0.0292717832319363	0.0592746989933228	0.0739220599408704	0.0332757732783905	0.0116465206098075	0.0500522714409262	0.0899542765221511	0.108507312476785	0.0630996038553992	0.145172359647624	0.0959210249247274	0.0595493533394553	0.0674104435049524	0.0585124914092247	0.491253542478638	0.093587107185011	0.165333751739577	0.0856112318696699	0.0643066555788421	0.117510788161496	0.217026867555699	0.203981492894165	0.0754382846444243	0.141131753101945	0.0433476512894185	0.0562454163275584	0.086640129053984	0.0475786920599263	0.054531239518764	0.0580898542145286	0.0787344786592505	0.184864591468464
GA22	0.0724206466528803	0.0445089370313317	0	0.0588719851779516	0.0391999419138889	0.12457933007843	0.0652025877074762	0.0641593748722414	0.0658450674152735	0.0766864406189533	0.0675063123456155	0.0643317730288313	0.117974041142698	0.074218733969963	0.102867499972233	0.0616714526155982	0.0588989888477807	0.120078193230761	0.0400318363399217	0.0815222954960785	0.0893775500319522	0.0966987692459364	0.0772961062764881	0.0972570476846562	0.0709457678174732	0.0400318362646633	0.0741388728522291	0.0873709819797013	0.119951769314481	0.0588719809634818	0.105493656086801	0.326069543457995	0.125244526474765	0.0838985855625284	0.0831506881260812	0.0658185605825198	0.0599744501664783	0.151731956524379	0.0600840366925254	0.0408637305401792	0.0511486344415732	0.0572446739545675	0.0831702041129271	0.0831632331164196	0.0586233771208561	0.0433009375225414	0.0784155329444794	0.111063530367583	0.133197283673317	0.0889793329053756	0.164266865926258	0.123748882212723	0.0852793084664477	0.0882011125372215	0.08129118207955	0.489351149159248	0.121503553325028	0.174480159851638	0.113231184469028	0.0851104848764159	0.135970471464474	0.216710027645935	0.210225037628352	0.0997237036512657	0.156783187724274	0.0671402864873108	0.086033084382764	0.105534012457638	0.0696019531613347	0.0844144905268243	0.0802894950929013	0.103607113764744	0.208898454772854
GA24	0.0229745872029549	0.0276079987448574	0.0588719851779516	0	0.0201209497948488	0.0781748259974868	0.0503254018046639	0.0565279923341792	0.0127346514636141	0.0322611119965262	0.0145933011125833	0.04710596237294	0.0649405500378156	0.0169227101885166	0.0613222259522588	0.049859893367146	0.0550605106835413	0.0787102836908001	0.0209528442020669	0.0850980309299146	0.0336881780018505	0.0442904974438242	0.0608975769331058	0.0453343187412851	0.0783535516961957	0.0209528441268085	0.026318276129808	0.052636548995817	0.0879786407896498	3.33905727085872e-09	0.105914490937133	0.294843420837865	0.103806628422304	0.0901167798373434	0.0436214417635287	0.0127346514636141	0.0429105592345951	0.122368458577913	0.00169795642233151	0.0217847384023245	0.0450777794714227	0.00169795642233151	0.0373549711710906	0.0483471070406554	0.0509010391930739	0.0242804212853162	0.0248965746884369	0.0798880778178075	0.0949871950537398	0.0369673803327739	0.124994712547895	0.0715383407011545	0.0333725519211274	0.0428273831426043	0.0399097101794673	0.48170005432283	0.0709764039410912	0.144106875724877	0.0663163519153992	0.0383486391480065	0.0938875091739985	0.198037701081158	0.184208076725566	0.0526822580898067	0.120844910556391	0.0195437116884258	0.0300952134379138	0.0660812148730516	0.0207157631501202	0.0282992802942668	0.0373338333108834	0.0641169041490334	0.164480289210057
GA30	0.0422792909949115	0.00748704908171085	0.0391999419138889	0.0201209497948488	0	0.0956760039458973	0.0305579617770031	0.0365492303413574	0.0325993602587418	0.0517329286896821	0.0343205362106815	0.0273850299794265	0.0825792213883063	0.0363831348867729	0.0796886462944024	0.0300231227895828	0.0349395615283889	0.0921775759997392	0.00083189442603275	0.0651978180188723	0.0526992290120835	0.0627805246698736	0.0415644028948413	0.0638198390264403	0.0582326031242958	0.00083189435077436	0.0459096685541098	0.0716983911891778	0.105700801136066	0.0201209460883731	0.0866145531486983	0.304948554195539	0.121461878370757	0.0701628028687955	0.0627092845135867	0.0325993598824499	0.0232242798865444	0.138020425018939	0.0217847346205904	0.00166378862629033	0.0249568302974556	0.0217847346205904	0.0567242941922612	0.0670621715711825	0.0307800903013258	0.00415947152809663	0.0442704356303721	0.0828919359529861	0.104107856280123	0.0558712589883744	0.140862821685997	0.0889403111668247	0.0522367101576593	0.0616863327044429	0.0591455733384749	0.487216750479708	0.0885180075173125	0.158943381894267	0.0842828050707326	0.0569950343495367	0.110546584965454	0.211136215770937	0.197762077805972	0.0712294332457311	0.137076197361404	0.0391831357558869	0.0490612067432717	0.083899449086701	0.0402085949676205	0.0473241574610725	0.0564860621787081	0.0825727490538901	0.178762053355876
GA34	0.0967342249033126	0.102615412550442	0.12457933007843	0.0781748259974868	0.0956760039458973	0	0.120091091465167	0.12248651521525	0.0867724314219121	0.101969527193543	0.0917182158151961	0.119410616505628	0.134695675619172	0.0929306914813516	0.127447825564881	0.118545521332911	0.122179440250902	0.139892961049095	0.0962868687706162	0.145218711572163	0.106477370090557	0.108940514105588	0.130065215168276	0.116192548037177	0.140496792234104	0.0964884274836743	0.0985522823728094	0.117136897594489	0.149644166344043	0.0781748235188048	0.159249940190953	0.267190125780274	0.156215781853958	0.14859741004278	0.114316989084461	0.0887143632792162	0.115251286388046	0.186624739281457	0.0794148746727392	0.0973008509085636	0.114411040576118	0.0798727766695348	0.10406604286923	0.116816752373871	0.118968506560031	0.0997770631290746	0.0994810342149	0.144299626181071	0.144129004310628	0.10168749098713	0.185576586240921	0.140409268514074	0.107423721389337	0.112044166848816	0.112073073013112	0.486188275645478	0.139732458412346	0.2041965481082	0.13746843630956	0.112215314831848	0.161108500465299	0.246156132732979	0.224706057355636	0.110653237985315	0.169528332021501	0.0930785357462938	0.105391031131148	0.124509305316917	0.0952723444524136	0.102852244137062	0.106954248979537	0.13048851760951	0.214036179085573
GA36	0.0712848952736216	0.0363008358111285	0.0652025877074762	0.0503254018046639	0.0305579617770031	0.120091091465167	0	0.0540171629100135	0.062723426261183	0.0718175206107624	0.0626204752861851	0.0503830180475206	0.109786218596679	0.0659414847767112	0.101236682592167	0.050053732187459	0.0537686859718477	0.119500802923935	0.0313898562030359	0.0799317352022186	0.0752993073276799	0.0899789706248828	0.0654957274826375	0.0908648498883151	0.0700007789965832	0.0297260674262288	0.0644236859686748	0.0804086806572447	0.118663584794661	0.0503253986249969	0.105243814337735	0.317426180899745	0.124800699151526	0.0801740414415947	0.0811133031742741	0.0580171147982279	0.0527183853767135	0.16280834794496	0.0519891871572143	0.0322217504032935	0.0436251810704819	0.0518284140324051	0.0719526294016778	0.0862768413781217	0.0460404774004763	0.0330517140753341	0.0718151560674111	0.110114983292391	0.123263136022771	0.0784668800317579	0.161876709078147	0.11590667129165	0.0792918186446633	0.0872532526840164	0.0805202785766486	0.496134785389659	0.115204865865485	0.182837260623622	0.105869057127322	0.0854052186689594	0.136824920171439	0.233130965852226	0.212102329207942	0.0952298554281394	0.160359038905513	0.0629680535257465	0.0779180207637825	0.108261205688721	0.0682467594178337	0.0760739801282233	0.0785692526836588	0.100908838513524	0.192041741082012
GA38	0.0761095692563539	0.0373811246168734	0.0641593748722414	0.0565279923341792	0.0365492303413574	0.12248651521525	0.0540171629100135	0	0.0643918145673745	0.057313015797373	0.0642231657837677	0.0592858324749301	0.116418416715331	0.0718658773059195	0.0929039070062866	0.0594679003186298	0.046980244944794	0.120674908782045	0.0373811247673902	0.0604161240085207	0.0816657135658192	0.0974069428865356	0.0769488722311728	0.094274284807269	0.0518552132628181	0.0373811246921318	0.0658612318826143	0.070915514377482	0.104999133903119	0.0565279878374904	0.0877903003734772	0.322254137258337	0.100158992007074	0.0609386921719168	0.0748405085142815	0.0609978895371008	0.0571025004516346	0.167291240315094	0.0565462286461784	0.0348854417150671	0.0469802456221195	0.0565462284015887	0.0639499293245149	0.0846658984594273	0.0463724925813049	0.0390449131679053	0.0705541578319037	0.11644965854257	0.126632507777575	0.0820878412235867	0.162511193466307	0.1223769199216	0.0867932247505947	0.0897564411238588	0.0692814224860584	0.500102450751295	0.117565456156929	0.189352141636791	0.101963471451944	0.0918512069479083	0.143232024284174	0.239241862218037	0.225859099415818	0.090451348685857	0.154175809443449	0.0648307534630853	0.0843391378758231	0.112766283987598	0.0712254421992434	0.0825859009655136	0.0770517286063746	0.0892371992684073	0.207558573383575
GA44	0.0337958543589621	0.038440860883154	0.0658450674152735	0.0127346514636141	0.0325993602587418	0.0867724314219121	0.062723426261183	0.0643918145673745	0	0.034808039439447	0.0239320401139934	0.0571947133526056	0.0767959789420017	0.0293581440640294	0.0635221793946594	0.0563016812872104	0.0543745378352175	0.090151805882201	0.0334312546283308	0.0827656587905655	0.0429379657813997	0.056632410988889	0.071193695181247	0.0573552236563028	0.0710853862792555	0.0334312545530724	0.0322611093370601	0.0500896174949829	0.0833871957629618	0.0127346485552162	0.105620993508233	0.302828789961458	0.0917017882445244	0.0846350605439658	0.046171220753229	0.0203754376582425	0.0551771651953459	0.133734174298518	0.0144326016306877	0.0342631487157008	0.0526195453724476	0.0144326017059461	0.0415998518165916	0.0523076703903651	0.0502150667398566	0.0351132839127924	0.0341122580522841	0.0903157804048423	0.100211113503184	0.0495425165546211	0.129360446951004	0.0833663749273377	0.0451721664932039	0.0503587673484075	0.0440991102256859	0.487903656682583	0.0822006178398927	0.154998286053388	0.0742891596046963	0.0507792126048695	0.104484707342856	0.207863224820808	0.194856059276546	0.0582628279849134	0.121038885975275	0.0304822553739403	0.0425890314985405	0.0768994134145253	0.0307613202568256	0.0408397605924895	0.0406352995019971	0.0599718416730563	0.174079327119721
GA46	0.0529632729412329	0.0559288814776775	0.0766864406189533	0.0322611119965262	0.0517329286896821	0.101969527193543	0.0718175206107624	0.057313015797373	0.034808039439447	0	0.0348215227325757	0.0733134914754015	0.0950991033830426	0.0485818822247287	0.0635473762046207	0.074359066916084	0.0685714623994297	0.105021284065313	0.0525648230592711	0.0808199248982198	0.06168853852785	0.0734505835412578	0.0912487652115147	0.0683340085576279	0.0688268333635848	0.0525648229840127	0.0382039456656485	0.0492406407691012	0.0776640986553346	0.0322611097886105	0.105792937837917	0.316645962722374	0.0731486681886394	0.0776164699722119	0.0437949910346005	0.0314121331379871	0.0740142069343064	0.146382547576319	0.033959062864082	0.0501056217372116	0.0552976352698875	0.0339590629393404	0.0373549690902835	0.0608771809122779	0.0561842522913157	0.0509557566332697	0.0446363016398567	0.10797640952197	0.115291174331849	0.0555149632120373	0.137170571269411	0.0999802238862924	0.0642736356216248	0.0554668386701984	0.0467421601930953	0.497287028365665	0.097233341893915	0.171824202806962	0.0816117648336321	0.0694542739427451	0.12072925581926	0.223892525986138	0.210877012969418	0.0660496779124845	0.127806297211786	0.0372123470285324	0.0616370622407306	0.0936477978083521	0.0471137789162722	0.0597351853067827	0.0455439970875629	0.0627184155764002	0.190577200453992
