#SampleID	faith_pd
GA17	1.95518938073894
GA18	2.03556995707714
GA20	1.9579559451552
GA29	1.76577654411499
GA33	2.34396250744345
GA40	1.72984002988896
GA47	1.84176871349392
GA64	2.11650951605313
GA65	1.63313356999669
GA67	1.6959330754311
GA77	1.89306441252215
GA79	1.68253632967561
GA83	1.71764448748588
GA86	2.09601351214031
GA87	1.63654571821084
GA90	2.00183415704595
GA92	2.04388336351351
GA96	1.85707330168215
GB101	1.77690075840067
GB102	1.73888101791229
GB105	1.6827840301252
GB108	1.6827840301252
GB110	1.64588598991251
GB111	1.78165887879636
GB118	1.74813916786845
GB119	1.89228155407169
GB120	1.83337501652094
GB123	1.6827840301252
GB124	1.96807675760439
GB128	1.63313356999669
GB130	1.79691425956983
GB132	1.79386318341514
GB136	1.79691425956983
GB141	1.79691425956983
GB148	1.64588598991251
GB151	1.81729127543154
GB154	1.64588598991251
GB155	1.88470119690332
GB158	1.82465907131844
GB161	1.79691425956983
GB163	1.83076122362783
GB164	2.16653721177414
GB165	1.65177459272501
GB168	1.64588598991251
GB169	1.8129797608046
GB171	1.78470995495106
GB172	1.8200824570864
GB174	1.6827840301252
GB175	1.79691425956983
GB176	1.82465907131844
GB178	1.61158324462008
GB183	1.83228676170518
GB185	1.6827840301252
GB189	1.7601303954365
GB191	1.6947032083876
GCDF193	1.88636395651887
GCDF194	2.54025957777745
GCDF197	2.82841051502415
GCDF200	1.82408636081664
GCDF202	1.63029201089483
GCDF204	1.7892865691831
GCDF206	1.74504596494004
GCDF214	1.7435204268627
GCDF215	2.33542830406761
GCDF221	1.79691425956983
GCDF223	1.73312678667764
GCDF287	1.79233764533779
GCDF288	2.21373343782457
