#SampleID	faith_pd
GA11	1.99269785313482
GA13	1.93389253384992
GA19	2.18337818846909
GA2	1.88394458117077
GA21	1.79691425956983
GA23	1.91140834235668
GA25	2.13766489534799
GA27	1.90702387629208
GA28	3.05662075251179
GA31	1.95046142069326
GA32	1.80454627157147
GA35	1.89756252326684
GA37	1.9003541159325
GA39	1.80938094706295
GA41	1.94531692903374
GA43	1.82254597947022
GA45	2.12987196388375
GA51	1.7435204268627
GA53	1.79081210726045
GA58	1.79691425956983
GA59	2.81014527286581
GA60	1.81245204540604
GA63	1.99990302653526
GA71	2.03333289284967
GA72	5.26607814796535
GA74	1.73341156184247
GA78	1.86028736185803
GA82	1.98862075287988
GA84	1.79233764533779
GA85	1.96688731091459
GA88	1.88419051152484
GA91	2.05020539512314
GA93	1.79691425956983
GB106	1.77860780264167
GB107	1.79691425956983
GB112	1.84859565211917
GB116	1.7892865691831
GB139	1.79691425956983
GB144	1.94810172737312
GB145	1.64588598991251
GB156	1.79691425956983
GB160	1.82364454542067
GB162	1.79691425956983
GB166	1.68707551800087
GB167	2.14726350480653
GB170	1.79691425956983
GB173	1.77809186574754
GB177	1.77708226456433
GB188	1.79691425956983
GB190	1.79233764533779
GB192	1.79081210726045
GB98	1.80219096410951
GCDF195	2.11515022329319
GCDF198	1.74809704109474
GCDF205	1.64588598991251
GCDF212	1.85709961720129
GCDF216	1.7892865691831
GCDF220	2.72728340700951
GCDF224	1.90776732120869
GCDF227	2.00912054191029
GCDF228	1.9557278864093
GCDF231	1.73442146463338
GCDF237	1.81694924277742
GCDF247	1.83539104675352
GCDF256	1.86216039043398
GCDF260	1.80592883318079
GCDF267	1.75013801848792
GCDF271	1.85276115297898
GCDF275	2.07368466710877
GCDF278	1.80530472344931
GCDF282	1.80685078884048
GCDF286	1.83183376324245
