	GA11	GA13	GA17	GA18	GA19	GA20	GA24	GA27	GA28	GA29	GA33	GA35	GA37	GA39	GA40	GA41	GA44	GA45	GA5	GA58	GA59	GA60	GA63	GA65	GA67	GA7	GA71	GA72	GA76	GA77	GA79	GA82	GA83	GA85	GA86	GA87	GA92	GA96	GB101	GB102	GB116	GB118	GB119	GB127	GB128	GB130	GB144	GB147	GB149	GB151	GB155	GB157	GB164	GB165	GB169	GB175	GB178	GB189	GB98	GCDF194	GCDF197	GCDF202	GCDF209	GCDF213	GCDF215	GCDF217	GCDF218	GCDF220	GCDF222	GCDF224	GCDF225	GCDF226	GCDF227	GCDF228	GCDF229	GCDF230	GCDF231	GCDF232	GCDF235	GCDF236	GCDF237	GCDF238	GCDF239	GCDF240	GCDF241	GCDF243	GCDF244	GCDF245	GCDF246	GCDF247	GCDF248	GCDF249	GCDF251	GCDF252	GCDF254	GCDF255	GCDF256	GCDF257	GCDF259	GCDF260	GCDF261	GCDF262	GCDF263	GCDF265	GCDF266	GCDF267	GCDF269	GCDF271	GCDF272	GCDF273	GCDF274	GCDF275	GCDF277	GCDF278	GCDF279	GCDF280	GCDF281	GCDF282	GCDF284	GCDF285	GCDF286
GA11	0	0.00897652748854586	0.1118275548021	0.109417948081638	0.0257732953800999	0.111096125058453	0.0113514044576071	0.0465931175182564	0.0474083018724364	0.111217964779247	0.111915960381127	0.0465375040893001	0.0724163567929557	0.0736230789410948	0.111749621954831	0.063694882498245	0.0394443250214211	0.051031855584094	0.0088856841150596	0.0248821036551486	0.0317543479002485	0.0812584722433427	0.0455301104282791	0.111511387608268	0.112114039334384	0.00979098290172076	0.032997657892981	0.0858514250980483	0.0234129187848532	0.110597883812105	0.112310976617866	0.06120673363859	0.111367731232836	0.0476030635487552	0.111984058537266	0.11192595710357	0.103616885916151	0.111689403803662	0.112046262606828	0.11090955672541	0.040300475753317	0.111555545167489	0.109277314910985	0.00802086132244593	0.111836830850201	0.0802309024665091	0.0487877068232105	0.0192058989989825	0.0108766140039385	0.110977988426733	0.103636927977957	0.0346965391489893	0.108535556329621	0.11166794951817	0.109899984616222	0.106133057086757	0.11276579196706	0.110578726788964	0.0653432021764192	0.111228369928972	0.132334170994735	0.112167278323511	0.0563882367704252	0.00786043947646065	0.106677340287151	0.0250979561565651	0.0691217202128786	0.0373170926150951	0.0130631847405863	0.0654040349628588	0.0339431927417113	0.0781050220583424	0.0480045478866257	0.0756470302138666	0.0437756054705442	0.0547386488754942	0.0528979588187102	0.0622883258820182	0.0312586722312251	0.0108966039131499	0.062878952258163	0.0194296994143062	0.032991032332483	0.0339302402177844	0.0366068611278979	0.0308371374402383	0.068555057312202	0.0424504880087845	0.0545543203826504	0.0276730102157653	0.0411530645620642	0.0513571979421558	0.0333058086948262	0.0402539757202671	0.0710898409738685	0.0677880855898062	0.0316714732766603	0.0606242422428396	0.0322943746272211	0.0438181817757361	0.0622050227465654	0.0141886139542542	0.0144622261175002	0.0323446557828874	0.0147840408420171	0.0259029254543059	0.0376988119549221	0.0556193644726517	0.0286939880443793	0.0663248343825942	0.0184314307166414	0.0226670073561671	0.0490925353058059	0.0594126088450653	0.0807971051245025	0.026533755172759	0.0575501619640625	0.0110298741839337	0.0153292398535261	0.0451263210576291	0.0609936250956974
GA13	0.00897652748854586	0	0.116802868216929	0.114487346600402	0.0308514726395258	0.11608836566559	0.0157039218883246	0.0516891684195008	0.0526282052048529	0.116137845046592	0.117309626530517	0.0518001058712752	0.0775188373947384	0.0788844092325731	0.116791256374181	0.068913117126383	0.0446633046135457	0.0560594797510691	0.00742852767092185	0.0296950916750262	0.036505490127537	0.0861929667116416	0.05041655111644	0.116617919293919	0.117353593836529	0.00839452191451188	0.0379589622783841	0.0910391650266117	0.0284992415984773	0.11558663295676	0.117546829235072	0.0663943335865483	0.116422269907263	0.0527921960585647	0.116940546893712	0.11702449341314	0.108531900126525	0.116858736583681	0.116988322951577	0.115898493715007	0.0453516874801029	0.116667334855807	0.114469146713464	0.00997907796761755	0.117036199705167	0.0851680214958962	0.0538708599227847	0.0149506051669537	0.00831537639176605	0.116154761702725	0.108586500088374	0.029871243663659	0.113690533421256	0.116805446945658	0.114901542663574	0.110980985968402	0.118008361546078	0.115784078911699	0.0705870267267179	0.116297812022344	0.13334406016752	0.117375729887774	0.0615586557547853	0.00859936597143215	0.111671672927009	0.0302477843607917	0.0742881210012869	0.0424730900223508	0.00962265676611827	0.0706251960887451	0.0391550441131447	0.0833454990025723	0.0533148485678013	0.0809839150369769	0.0490111185783389	0.0599652811358071	0.0581415084501108	0.0673455322782199	0.0363867695095262	0.0153091590124832	0.0681236980464121	0.0149968088548066	0.0281995523278837	0.0289826444444256	0.041706010473497	0.0260215393606235	0.0737424196317942	0.0474068668266438	0.0597265419183355	0.0328401127416227	0.0464435720985586	0.0564768361398066	0.038472831719602	0.0452675304629586	0.0763086826361791	0.0729712025083677	0.0367429747876495	0.0658276911937829	0.0375274299371122	0.049035358948238	0.0674374345125574	0.0105044998433159	0.0105841821012548	0.0274645643534534	0.0192002242000661	0.0311301946640015	0.0430553813436718	0.060753704735426	0.0338523570222385	0.0715600421482867	0.0233502034803457	0.0278363667259162	0.0543336193594668	0.0646355047897257	0.0860403623394292	0.0216866315888109	0.0627773851532527	0.0151023350131576	0.02033048883231	0.0502979524358354	0.0660219310284263
GA17	0.1118275548021	0.116802868216929	0	0.00507262737885343	0.0882229019295086	0.00393962399502558	0.101355935663286	0.0660584115169265	0.0749952489077443	0.00352663203786983	0.00614284286322543	0.0674742504653305	0.0400350137867711	0.0398928065304503	0.00640233216402732	0.0503366562453183	0.0741706794560558	0.0905450404894472	0.11559099433097	0.0921864240910068	0.0949767612748676	0.0309667755482775	0.0692746294568283	0.00665286050831918	0.00727846365977041	0.11773436719721	0.0799901643485734	0.0802579696732338	0.0896182911414089	0.00478666583123156	0.0083027113501848	0.0519591720041	0.00548756917270672	0.0653171810236844	0.00540514190615428	0.00701583893922619	0.0118748033231105	0.0077737140765583	0.00362162334454067	0.00581914004093657	0.0725437982967406	0.0059970182865256	0.00720598526308407	0.111607744386702	0.00705532512669875	0.0320680783214894	0.063974896276539	0.130200212727291	0.120190131393346	0.00604295008110278	0.00898032039497988	0.1455862860788	0.010092969946187	0.00668422049828664	0.00559102286198976	0.00916787887914012	0.00837761676409329	0.0064728300797405	0.0483034293383661	0.012243409655198	0.128788718445735	0.00748193390300554	0.0581592674734014	0.112642574566181	0.0104958432481972	0.0876947490855901	0.0451453974225906	0.080080716898947	0.122847642711919	0.047882561317899	0.0794230427103813	0.0361465190283277	0.0666851181574542	0.0377635583281517	0.0705054821164319	0.058427660227424	0.0610161158773634	0.0514966853790813	0.0817483945025338	0.104071243017009	0.0504466652719661	0.130294214670706	0.141556150684453	0.144642251158001	0.0787258094759903	0.141831336448891	0.0449212124251356	0.0700244083248003	0.0609182564899175	0.0857867676049772	0.0722527382048694	0.063811381018222	0.0819143369191825	0.103964214147341	0.0427267054716746	0.0461277571516206	0.0815351025925742	0.0541674113559602	0.0848944182648803	0.0694347193671597	0.0516707127669243	0.124410658021166	0.124843326030356	0.143234219514962	0.0984637978101018	0.0878632709082931	0.0757970542016655	0.0574906209126265	0.0845770403140723	0.0476210652803532	0.094329668942726	0.0915253352035176	0.0646605853631039	0.054105280098891	0.0327348144856667	0.137486609846655	0.0565500334657804	0.10412489359427	0.098429998288853	0.0686735884860308	0.0514841477828796
GA18	0.109417948081638	0.114487346600402	0.00507262737885343	0	0.0858485619678642	0.00506422233372701	0.0990387121535311	0.0637233513548519	0.072637011607488	0.00521177457965384	0.00773889285446417	0.0651115864289529	0.0377348074030997	0.0375467261882743	0.00834303352784252	0.047966771354579	0.0718355077234182	0.0882933989468247	0.113255824780825	0.0901731053988139	0.0929637848578318	0.0286525549235368	0.0669849898779031	0.00862281313260095	0.00913779947887918	0.115409601517398	0.0775703017157738	0.0778689454450752	0.087424337261855	0.00614407616244121	0.00976566842173913	0.0496648564708955	0.00745382839860865	0.0628544693116588	0.00744658198461614	0.00895948862337103	0.00963583991702909	0.0089801974956774	0.00482343181243373	0.0072844973612445	0.0702086314182691	0.00793268270273175	0.00700596232446983	0.109272574911816	0.00901901126942701	0.0297194989115903	0.061669692660522	0.127865044230765	0.117854963950437	0.00754645002789494	0.00675519220907279	0.143251119388474	0.00725404099288462	0.00865892596034841	0.00606312280088061	0.00712472218973092	0.0102481506717852	0.00757301119955802	0.0459302856464579	0.0112797111047037	0.126750090808579	0.00941746799990234	0.0558197889288869	0.110307871542796	0.00847825094718825	0.0855828245179822	0.0427998775484586	0.0777285145313451	0.120500346325865	0.0455554421577189	0.0771102994830921	0.033805086268018	0.064352543403705	0.035437291506866	0.0681679513719347	0.05609165914733	0.0586995988181143	0.0491235217060706	0.0794146938456429	0.101737123772953	0.0481000347721456	0.12795484743335	0.139036502952528	0.14226053399269	0.0763849175036556	0.139461161211284	0.042585764456578	0.0677132210270925	0.0585824010348079	0.0834300202703235	0.0699058812149245	0.0614795899300864	0.0796495473219289	0.101692476131097	0.0403912593093183	0.0437892461289661	0.0791056274314119	0.0518309910490055	0.082558559197368	0.0670925357727089	0.0493333278355574	0.122068295499893	0.122515944368912	0.140893760955695	0.0961131071954062	0.0855346477091914	0.0735108748529897	0.0551617434530547	0.0822416028440601	0.0452757385192495	0.0920081589408595	0.0891459319326613	0.0623259744559876	0.0517695595820745	0.0303697281827529	0.135151439318151	0.0542087491714593	0.101776074881505	0.0960948368666148	0.0661055761380027	0.049146637997844
GA19	0.0257732953800999	0.0308514726395258	0.0882229019295086	0.0858485619678642	0	0.0875334331032002	0.0175887675382046	0.0233374504805213	0.0239633994760236	0.0877712430677029	0.0885464545301717	0.0235859817975775	0.0491732343128233	0.0507014292960215	0.0885479463019756	0.0406371425235211	0.0165306025812628	0.03131841712001	0.0292605476341013	0.0131200274753601	0.0191450981855995	0.057947961933384	0.0220350893308418	0.0884439936942524	0.0890974802049724	0.0314142020381611	0.0111934924192463	0.0625873950469975	0.00816022790968418	0.0873052465042683	0.0893923500270555	0.0382283592239173	0.088224948581421	0.0243876031929194	0.0883265100795813	0.0888792862645303	0.0801200023805252	0.0885297318149095	0.0885186527263035	0.0876061156241581	0.0172559163589595	0.088311172570243	0.086231070485982	0.025215879602433	0.0888052779917765	0.0569805058490748	0.0255068215315766	0.0437296095558188	0.0338292006177433	0.0879400489155692	0.0802833507909919	0.0592736204841522	0.0848547163033726	0.0886466428637505	0.0866242811986894	0.0825978935968996	0.0898545593625367	0.0875879627737132	0.0424384979926275	0.0878290801939338	0.12876727409435	0.0891775473801777	0.0334707586414585	0.0262976265747589	0.0827731216194654	0.00775643611195112	0.0461302958993298	0.0144936743008932	0.0363359244709665	0.0424598388072818	0.0115835665586414	0.0551917026139269	0.0250521835181956	0.0527694778836737	0.0210082225085264	0.0318067641176208	0.0299828003885017	0.0391820037756303	0.0102838402275335	0.0180849431957485	0.0399261833065086	0.0438250476174583	0.056868778221836	0.0583664088914491	0.0145822548486217	0.0553675450836167	0.0455975015882892	0.0191077371692341	0.0316328257886749	0.00866511894620466	0.0182707007701575	0.0281313656913963	0.0122324382754588	0.0315896623175253	0.0481566959860349	0.0448628419050665	0.0103500491158679	0.0377087683200535	0.011856956673184	0.0208809672045813	0.0392905443041313	0.0380066671135901	0.0383660970914243	0.0568150528001063	0.0138832072685049	0.00826626250078205	0.0150070215876431	0.0325917455490039	0.00808742945082486	0.0434062440286983	0.0101426041654471	0.00886047237101152	0.0261710758198692	0.0364794906209966	0.0579158260364725	0.0510256248291093	0.0346426685161964	0.0180118166126612	0.0126021475392403	0.0217922091074852	0.0378665452390307
GA20	0.111096125058453	0.11608836566559	0.00393962399502558	0.00506422233372701	0.0875334331032002	0	0.101093545104518	0.0654639476778531	0.0754123711676309	0.00311908241469564	0.00456614924519502	0.0667341148311442	0.039469547419235	0.0391521000613769	0.00432394741625158	0.0495665870381124	0.0734379548541825	0.0914514409472244	0.114859793448087	0.0935511841918483	0.0963838890646443	0.0304839618579306	0.0698575216787632	0.00451879012762955	0.00514394549695267	0.117038252528268	0.0793912613933737	0.0809202514814608	0.0890282996074118	0.00308236453183597	0.0059794294694909	0.0513510896325713	0.00352529331987648	0.064649405352997	0.00369766842446883	0.00490891630526143	0.0119840818071606	0.00532898018042548	0.00502340382933993	0.00355598339963836	0.0718110722273287	0.00392737189916931	0.00553372427774123	0.110875020800817	0.00495471817328397	0.0314262649138468	0.0634620024474582	0.129467487711497	0.119457408183753	0.0037786912371762	0.0087573553924684	0.144853564524891	0.00973649817810516	0.00456531459790175	0.00327639738003714	0.0104714372016565	0.00619439528596522	0.00405169552370831	0.0475636654806258	0.0137806863364096	0.130291024317043	0.00536050575766524	0.0574198919489528	0.111910317431797	0.0115427142338395	0.0871954271287629	0.0444164271983835	0.0794157356475339	0.122076410612073	0.0471514563894633	0.078698155329083	0.0354132385303577	0.0659715375590204	0.0370455079834269	0.0696791159835729	0.05769619484893	0.0603041298536941	0.0507757485740715	0.0810158826184995	0.103347253317785	0.0497021484329845	0.129561492740506	0.141338786693534	0.143972660555984	0.079380477919723	0.141091246044997	0.044188906824348	0.0696469086664494	0.0601869306028491	0.0850459510328794	0.0715819320293388	0.0638213027080502	0.0826588717825485	0.103905068202452	0.0419949570463763	0.0453932234885717	0.0807640675944511	0.0534345482410205	0.0841560758123494	0.0687300534636685	0.0509321939839859	0.123679228954845	0.124096578871361	0.14253588607817	0.097891821779988	0.0871370865239037	0.0751133187100141	0.0567617455892491	0.0838379649200825	0.0468907048455392	0.0936125431096915	0.0907834407055017	0.063955704860314	0.0533721480857242	0.0320171162749481	0.136753885432927	0.0558173152232411	0.103395759532548	0.097697415812449	0.0679504312951155	0.0508702184741545
GA24	0.0113514044576071	0.0157039218883246	0.101355935663286	0.0990387121535311	0.0175887675382046	0.101093545104518	0	0.0377973689311984	0.0376346479687426	0.100911577166331	0.103310348033303	0.0388683924131622	0.0635303634811531	0.0659248474797215	0.1033492923686	0.0559739013663446	0.0317835003288105	0.0409737888422578	0.0145340717369408	0.014305220248949	0.0218949603725864	0.0718252510208674	0.0349283597309782	0.103437343781645	0.104389214756513	0.0166821368062173	0.0238396673500914	0.0757100329254613	0.0155325935109321	0.101129960757915	0.104654719582712	0.0530057933670704	0.102445417732903	0.039437523111701	0.102705812589689	0.103943772990294	0.0932048034637865	0.103928903738658	0.101405719389217	0.102179820940952	0.0322561648420312	0.103048058396036	0.10126648256273	0.0118998547761955	0.103927742200668	0.0714715427973054	0.0394367460688256	0.0289782620778288	0.0190401238323462	0.102502659339495	0.093645370066768	0.044363923333209	0.0984735692089254	0.103574946974263	0.100739079292374	0.0953983835349179	0.105116251818459	0.10240379826288	0.0576730101472802	0.100715211094028	0.1282060426293	0.10437267251087	0.0486721107077719	0.012347833552125	0.0961962750915325	0.0167932035119245	0.0614631475146973	0.0288694435072066	0.0218199755940022	0.0576097627330308	0.0262476503660884	0.0704536731496002	0.0404487336148517	0.0678185352096052	0.0360895092363911	0.0469483685388108	0.0452512101166778	0.0540989657318351	0.0231428298666471	0.00856353837592207	0.0551207727479814	0.0290777186834902	0.0412346123708318	0.0434855742173062	0.0262990256658558	0.0406173214391626	0.0608123367031415	0.0326995858358163	0.0468988321495779	0.0199809735311628	0.0332841341468421	0.0412874297060148	0.022994364912838	0.0337462205665581	0.0634139551207273	0.0600809904586787	0.0236729225896374	0.0529672778917081	0.0246807363618052	0.0360373481355532	0.0545413036915389	0.0233321305072744	0.0236607603540625	0.0420469393520945	0.00830899405638885	0.0183066602542319	0.0300447620790113	0.0476773951691811	0.0208675031164529	0.0586679371619465	0.0106859795744484	0.0151535759614122	0.0414237945782717	0.0516943245599366	0.0731260683575664	0.0362659107254009	0.0498932683558175	0.00789283559366007	0.00932858793789314	0.0368695322687578	0.0524378683831957
GA27	0.0465931175182564	0.0516891684195008	0.0660584115169265	0.0637233513548519	0.0233374504805213	0.0654639476778531	0.0377973689311984	0	0.0148728725058262	0.0653689413735963	0.066683986346529	0.00697474954696843	0.0269814166193358	0.0287330766217877	0.0664135895368427	0.0187516373281151	0.00952694643843881	0.0306806778064882	0.0500341999636154	0.0310736315494234	0.0339423031028774	0.0355985628610308	0.00953407014127482	0.0664077863247708	0.0672163949018777	0.0522580497117356	0.0154546214963752	0.0512808034516344	0.0243077512567091	0.0649431432136382	0.0674146891317584	0.0161365138959478	0.0658811797397305	0.00652660886319636	0.0663074901459193	0.0668239267637031	0.0577603699357221	0.0667714241026628	0.0660774416167929	0.0654812788948266	0.00825930655830436	0.0662948828604486	0.0642297284094372	0.0460225439846817	0.0668325861445581	0.0348225198309831	0.00715303156734209	0.0645860036966777	0.0546339039098133	0.065709900299106	0.057919187076164	0.0799721276970825	0.0628516456921293	0.0666689475001109	0.0644231478900018	0.0602330748706755	0.0678826891111605	0.0655079138926183	0.0204808177200682	0.0653772854970561	0.125199484403687	0.0671794643682061	0.0119133629633885	0.0470500250506883	0.0608391149929076	0.0227296838743819	0.0242361215724036	0.0155818777939662	0.0573110434819352	0.0204645502945465	0.0140762948078301	0.0332347185285103	0.00777881680176396	0.030634155120663	0.00722823173720201	0.0103804024848899	0.00912198408346887	0.017140806337461	0.0163843731532306	0.0384967024202901	0.0179460891851723	0.0646897553268707	0.0778055617002526	0.0791586740977234	0.0167607238652617	0.0762395602133539	0.0236428060164355	0.00847485041683257	0.0110410938904894	0.0202997984327	0.00807599990153591	0.00877848047424446	0.0200905064403108	0.0399476672438058	0.0262175227487178	0.0228997721346189	0.0162402176288794	0.0159029530577663	0.0194754657392023	0.00662409196810025	0.017323822383957	0.0588842481751033	0.0592331549510209	0.0776710278458065	0.0337200010515223	0.0223083494494509	0.0110231038921447	0.0110553200427217	0.0190649359355295	0.021438267430046	0.0291472987243623	0.0260601408233998	0.00743164811571448	0.0146050691731613	0.0359091459575928	0.0718834951444708	0.0126879792448811	0.038601361102227	0.0329063401152991	0.00759203604427213	0.0158241912863697
GA28	0.0474083018724364	0.0526282052048529	0.0749952489077443	0.072637011607488	0.0239633994760236	0.0754123711676309	0.0376346479687426	0.0148728725058262	0	0.0752730196473574	0.0774154997985772	0.0169915192468901	0.0386148338027374	0.0409685847998568	0.0783698579127138	0.0309201961928847	0.0159836026999836	0.0276364773474257	0.0513226402302583	0.0280074286415721	0.0305114794296749	0.0470475567636466	0.0128869659907062	0.0785612831212053	0.0792159508876126	0.0534511381252245	0.0176672024059702	0.049153693246119	0.0256564679339227	0.0761475687978244	0.0796835069554021	0.0278197865782663	0.0775487707419829	0.0160387702794238	0.0770652607986421	0.0790584375611459	0.0671487499893916	0.0788042377492394	0.0740985830474381	0.0774025588926643	0.0146500431236369	0.0780230117115107	0.0763149594116693	0.0473481415197103	0.0790215048826102	0.0466601410974758	0.0159129721131364	0.065931441093033	0.0559363330930772	0.0775381332696086	0.0686521066559686	0.0810061051990047	0.0715918863813082	0.0786897178099613	0.0760380468434758	0.068280277303373	0.0801578038419136	0.0775509818334772	0.0327392437805732	0.0728147372302383	0.121497682098186	0.0794264067604084	0.0238689720216725	0.0483440096405419	0.0686667756074005	0.0238918790574929	0.0364788939442598	0.0177043177601364	0.0584364110472226	0.0326120387762785	0.0175633278835301	0.0455249184084059	0.0175403597190826	0.0426640797105401	0.0162436269656426	0.0223885825788132	0.0209190629686069	0.0292639984758665	0.0186416767255375	0.0398081037206481	0.0301485411408875	0.066020768323932	0.0747972868683964	0.080303782841774	0.0153693798788343	0.0775298055148486	0.0359030418436636	0.0135017905779409	0.0224327030168338	0.022123831032653	0.0147071226189534	0.0164246220950677	0.0179057072688158	0.0379561525440276	0.038498794998635	0.0351574994021594	0.0187315132440717	0.0280850178308108	0.0218550574899924	0.015707731679684	0.0295516481679497	0.060091049984248	0.0603784028854635	0.0789931144828748	0.0344061567589189	0.023939981717955	0.0156902680455735	0.0230005445485615	0.0211051302877339	0.0337320855169585	0.0302262192385064	0.0272198497797504	0.018313939043443	0.0268088418971559	0.048187432490816	0.0732208822637495	0.0249895615070456	0.0398529315875335	0.034220697621655	0.0149970608481178	0.0275928217334428
GA29	0.111217964779247	0.116137845046592	0.00352663203786983	0.00521177457965384	0.0877712430677029	0.00311908241469564	0.100911577166331	0.0653689413735963	0.0752730196473574	0	0.00459242084138848	0.0668807457568067	0.0395083072209599	0.0392770294024788	0.0046935603269517	0.0497247295247184	0.0735052255066958	0.0911403636288161	0.114923871075264	0.0927246272413418	0.095405374136236	0.0304522437391558	0.0693819385887396	0.00478404645826856	0.00571365544403141	0.117090707099197	0.0793023723544496	0.08033678229108	0.0890773736467265	0.00319492618607432	0.00651390271995104	0.0511123583924891	0.00386956526375743	0.0649221106385342	0.00380950684499259	0.00526487369753533	0.0114347061208176	0.00605111506137282	0.00394273293674971	0.0040655603751098	0.0718766760570232	0.00433002140389454	0.00568676226762961	0.110942292619835	0.00525496420544582	0.0315071660460848	0.0633074411689633	0.129533090449945	0.119523009341775	0.00422802096999467	0.00864934822252829	0.144698853595088	0.0102405074908577	0.00488914359029326	0.00389268849223777	0.00975660734217275	0.00655888732184063	0.00473450846567919	0.0476900143078481	0.0128002447085549	0.129177136628917	0.00571691515418052	0.057522486932952	0.111957570293335	0.0108990532703547	0.0872604508291591	0.0445676480579858	0.0794484209683206	0.122225233325453	0.047190192785829	0.0788128188613689	0.0355385305416403	0.0660131458531727	0.0371113460172306	0.0698503693095361	0.0577786366521108	0.0603749772364443	0.0508444661067592	0.0810862115085727	0.103416824506389	0.0498064912554592	0.129631294520816	0.141186022773536	0.14399448714473	0.0786116434016613	0.141148319298571	0.0442689748273955	0.0695525134979474	0.0602725722046211	0.0851546590677415	0.0715463953939351	0.06336931827845	0.0820710713965724	0.103549682356492	0.0420860215419471	0.0454854000397403	0.0808889609996719	0.0535434301227632	0.0842057288897158	0.0687951248778839	0.0510374082986152	0.123825153166598	0.124125845579788	0.142582968178422	0.0978501153865246	0.0871993938479761	0.0750514537923866	0.0568484954836995	0.0839150736879821	0.0470328369375431	0.0936619317290759	0.0909427553415298	0.0640140637905911	0.0534534735812081	0.0322407843037085	0.136819486214657	0.0559291208181718	0.103532460678105	0.0977676139034406	0.0682200103847667	0.0508514212237464
