	observed_features
GA11	8.35353535353535
GA13	5.17171717171717
GA19	5.37373737373737
GA2	4.82828282828283
GA21	4
GA23	5.37373737373737
GA25	4.71717171717172
GA27	4.91919191919192
GA28	13.8989898989899
GA31	5.35353535353535
GA32	5
GA35	6.88888888888889
GA37	5.53535353535354
GA39	4.55555555555556
GA41	4.88888888888889
GA43	4.1010101010101
GA45	8.76767676767677
GA51	3.64646464646465
GA53	3.95959595959596
GA58	4
GA59	11.4040404040404
GA60	4.35353535353535
GA63	5.46464646464646
GA71	5.29292929292929
GA72	42.8585858585859
GA74	3.66666666666667
GA78	4.56565656565657
GA82	5.68686868686869
GA84	3.96969696969697
GA85	5.2020202020202
GA88	5.18181818181818
GA91	4.95959595959596
GA93	4
GB106	3.87878787878788
GB107	4
GB112	5.23232323232323
GB116	3.94949494949495
GB139	4
GB144	5.57575757575758
GB145	3
GB156	4
GB160	4.26262626262626
GB162	4
GB166	3.27272727272727
GB167	4.73737373737374
GB170	4
GB173	3.64646464646465
GB177	3.86868686868687
GB188	4
GB190	3.96969696969697
GB192	3.95959595959596
GB98	5.71717171717172
GCDF195	6.46464646464646
GCDF198	3.67676767676768
GCDF205	3
GCDF212	4.83838383838384
GCDF216	3.94949494949495
GCDF220	9.27272727272727
GCDF224	4.77777777777778
GCDF227	5.19191919191919
GCDF228	5.03030303030303
GCDF231	4.01010101010101
GCDF237	4.16161616161616
GCDF247	4.18181818181818
GCDF256	4.60606060606061
GCDF260	4.17171717171717
GCDF267	3.80808080808081
GCDF271	4.68686868686869
GCDF275	4.80808080808081
GCDF278	4.11111111111111
GCDF282	3.85858585858586
GCDF286	4.48484848484848
