	observed_features
GA1	4.12121212121212
GA15	4.96969696969697
GA2	4.75757575757576
GA21	4
GA22	5.1010101010101
GA23	5.38383838383838
GA25	4.70707070707071
GA30	5
GA31	5.29292929292929
GA32	5
GA34	4.65656565656566
GA36	4.98989898989899
GA38	4.70707070707071
GA43	4.06060606060606
GA46	3.67676767676768
GA47	5.16161616161616
GA50	5.07070707070707
GA51	3.67676767676768
GA53	3.87878787878788
GA57	5.32323232323232
GA6	5.07070707070707
GA64	5.96969696969697
GA66	3.90909090909091
GA68	5.12121212121212
GA69	4.62626262626263
GA70	4.96969696969697
GA73	4.53535353535354
GA74	3.71717171717172
GA75	4.27272727272727
GA78	4.48484848484848
GA80	5.3030303030303
GA84	3.98989898989899
GA88	5.31313131313131
GA90	5.08080808080808
GA91	5.08080808080808
GA93	4
GB104	4.4040404040404
GB105	4
GB106	3.8989898989899
GB107	4
GB108	4
GB110	3
GB111	3.83838383838384
GB112	5.28282828282828
GB114	4.28282828282828
GB117	5
GB120	4.07070707070707
GB123	4
GB124	6.24242424242424
GB129	3.41414141414141
GB131	3.83838383838384
GB132	3.97979797979798
GB133	3.94949494949495
GB134	4.71717171717172
GB135	7.42424242424242
GB136	4
GB139	4
GB140	3.66666666666667
GB141	4
GB142	4.92929292929293
GB145	3
GB148	3
GB153	5.38383838383838
GB154	3
GB156	4
GB158	4.93939393939394
GB160	4.14141414141414
GB161	4
GB162	4
GB163	5
GB166	3.3030303030303
GB167	4.71717171717172
GB168	3
GB170	3.97979797979798
GB171	3.84848484848485
GB172	4.88888888888889
GB173	3.61616161616162
GB174	4
GB176	4.90909090909091
GB177	3.86868686868687
GB180	3.97979797979798
GB181	4.98989898989899
GB182	4.66666666666667
GB183	4.98989898989899
GB185	4
GB188	4
GB190	3.98989898989899
GB191	3.39393939393939
GB192	3.95959595959596
GB99	3.96969696969697
GCDF193	4.71717171717172
GCDF195	6.66666666666667
GCDF198	3.58585858585859
GCDF199	3.55555555555556
GCDF200	5.92929292929293
GCDF203	3.8989898989899
GCDF204	3.93939393939394
GCDF205	3
GCDF206	3.82828282828283
GCDF208	4.66666666666667
GCDF209	4.91919191919192
GCDF210	4.98989898989899
GCDF212	4.84848484848485
GCDF214	3.5959595959596
GCDF216	3.95959595959596
GCDF218	4.01010101010101
GCDF221	4
GCDF223	4.3030303030303
GCDF226	3
GCDF230	3.91919191919192
GCDF244	3.86868686868687
GCDF246	4.5050505050505
GCDF252	18.5454545454545
GCDF254	4.03030303030303
GCDF255	4.6969696969697
GCDF257	4.48484848484848
GCDF259	5.33333333333333
GCDF261	3.76767676767677
GCDF273	3.48484848484848
GCDF279	3.8989898989899
GCDF281	3.83838383838384
GCDF284	4.88888888888889
GCDF287	3.96969696969697
GCDF288	6
