#SampleID	faith_pd
GA1	1.82938493619458
GA15	1.8200824570864
GA22	1.84790555058757
GA24	1.79691426556983
GA30	1.83381229978252
GA34	1.95095895514382
GA36	1.84506862852987
GA38	1.79395996347247
GA44	1.77403118840963
GA46	1.73894381263066
GA5	1.78991454053688
GA50	1.85914681415712
GA57	1.92431918122776
GA6	1.82801479022799
GA66	1.80004215724822
GA68	1.8313860789254
GA69	1.76973970053396
GA7	1.93615273714801
GA70	1.83228676170518
GA73	1.75439966245427
GA75	1.8295419862264
GA76	1.87148318716418
GA80	1.9116415929639
GB104	1.86281092639343
GB114	1.72702463436825
GB117	1.83228676170518
GB127	1.74962257917208
GB129	1.70233089877434
GB131	1.77778562675959
GB133	1.79691425956983
GB134	1.83762508329284
GB135	2.54095582570755
GB140	1.68596388013429
GB142	1.73477465594794
GB147	1.74783006312399
GB149	1.77403118840963
GB153	1.87250229822693
GB157	2.03732652006786
GB180	1.79386318341514
GB181	1.83076122362783
GB182	1.78804615746212
GB99	1.79386318341514
GCDF199	1.72979058416658
GCDF203	1.79871076716475
GCDF208	1.7773673909207
GCDF210	1.82618460939579
GCDF213	1.8049116834475
GCDF217	1.95789218772586
GCDF222	1.93343595947377
GCDF225	1.82653951906556
GCDF229	1.97472382403877
GCDF232	1.93410996997222
GCDF235	1.85825667782272
GCDF236	1.80577971579378
GCDF238	1.74092531976185
GCDF239	3.48903069578782
GCDF240	1.90953312137271
GCDF241	2.10720228900005
GCDF243	1.85637500544146
GCDF245	1.87114047373535
GCDF248	1.98027426497064
GCDF249	2.2590498410821
GCDF251	2.22094514424684
GCDF262	1.81055134194527
GCDF263	1.93447052069391
GCDF265	1.77888753333411
GCDF266	1.85548667658436
GCDF269	1.89920230120362
GCDF272	1.80281052000691
GCDF274	1.85084943818182
GCDF277	1.77225657744114
GCDF280	1.76705559159374
GCDF285	2.17494949633857
