	GA17	GA18	GA20	GA29	GA33	GA40	GA47	GA64	GA65	GA67	GA77	GA79	GA83	GA86	GA87	GA90	GA92	GA96	GB101	GB102	GB105	GB108	GB110	GB111	GB118	GB119	GB120	GB123	GB124	GB128	GB130	GB132	GB136	GB141	GB148	GB151	GB154	GB155	GB158	GB161	GB163	GB164	GB165	GB168	GB169	GB171	GB172	GB174	GB175	GB176	GB178	GB183	GB185	GB189	GB191	GCDF193	GCDF194	GCDF197	GCDF200	GCDF202	GCDF204	GCDF206	GCDF214	GCDF215	GCDF221	GCDF223	GCDF287	GCDF288
GA17	0	0.00449939464416468	0.00383677775971591	0.00329194726090822	0.00574840492606539	0.00614934249527075	0.0486883252031273	0.0677479346743738	0.00648756018566965	0.00701294692393129	0.00490576139242021	0.00808632644269653	0.00565640139275917	0.00539448900581008	0.00688311671650018	0.0738988146938459	0.0118869544627766	0.00769073063169013	0.00364523009641679	0.00559713323530035	0.105686436397861	0.132576698757181	0.22261204984453	0.0754750371731893	0.00591948354085249	0.0068885785988485	0.0539636246935286	0.134216411697744	0.123973858100597	0.00690066552311746	0.0317593052080183	0.05637542497028	0.027758689503176	0.0518178162023877	0.0852860566793066	0.00580429063752444	0.0770583838374928	0.00875591196947628	0.0692214595549034	0.0384863541282789	0.167437756603414	0.009968700677608	0.00650700370338981	0.0453865191701687	0.00540571101245028	0.106616183438084	0.0970787022902508	0.0833793543655463	0.00913533915511586	0.0883866617023343	0.00813739179078527	0.0857944148357468	0.124784529209137	0.0063676552616549	0.0535896654156121	0.0514741290473577	0.0123447701617172	0.128543654701324	0.0626604409907201	0.00724919216302835	0.241198142670622	0.0552556632143078	0.243154143293699	0.010187377306548	0.0745508960551686	0.0785799652639061	0.0583735862840908	0.0610797314180268
GA18	0.00449939464416468	0	0.00471192151966571	0.00494652548381551	0.00732336128295183	0.00781382504624851	0.0464561215103275	0.0656066892875565	0.00819824673141343	0.00859632630917159	0.00596953763607701	0.00925752087825477	0.00735805503614811	0.00712146214209497	0.0085651398109592	0.0716500151337999	0.00978625374799124	0.00862071573066365	0.00472538482934011	0.00676136610399217	0.103443223343353	0.130333498195566	0.220368845745771	0.0732318299512068	0.00750873968325028	0.00663874045512968	0.0516292066736655	0.13197321015777	0.121764660032109	0.0085967436733872	0.0295617928672017	0.0541322398742642	0.0255251807358229	0.0496856204111769	0.0830428470866849	0.00695571162022951	0.0748151772552066	0.0066980385395576	0.0669782564721324	0.0362256825572312	0.165194551752071	0.00734871488083342	0.00818986497875867	0.043142750558227	0.00583177798832155	0.104372973243395	0.0948354917945284	0.0811361505678206	0.00729450604624369	0.0861434633232126	0.00973243268695895	0.0835512078771688	0.122541326991837	0.00719165464515111	0.0513466082964883	0.049223851073872	0.0114921097210938	0.126709200818129	0.0604110212262833	0.0089282623134704	0.238954933604809	0.0530123292571969	0.240910938893906	0.00838717329786206	0.0723187891070289	0.0763367566496435	0.0561294114649898	0.0588595833290707
GA20	0.00383677775971591	0.00471192151966571	0	0.00318490923646922	0.00445915185705279	0.00444779995031598	0.0482132380282638	0.0681883114380668	0.00472128675836656	0.00517629317920467	0.00338082152037797	0.00611046397108396	0.00400337239320512	0.00388331315832946	0.00513664859222399	0.0734638525078995	0.0122894421925373	0.00568227391017394	0.00515323393093892	0.0036318260086277	0.105187902245859	0.132078169120683	0.222113522766817	0.0749765029459289	0.00416797889993912	0.00555374734150716	0.0533837539078009	0.133717879728235	0.123531715887966	0.00515768237440198	0.0313878665217245	0.0558768949198602	0.0273255191818632	0.0525171481298678	0.0847875224520462	0.00395770742430944	0.0765598503628162	0.00891719462651044	0.0687299973585389	0.0379908714782108	0.166939226665882	0.00964421069136623	0.00473023476690581	0.0448877018584748	0.00358716170468151	0.106117651769609	0.0965801701702253	0.0828808202135442	0.0104826974654288	0.0878881390648659	0.00631739672583838	0.0852958833177884	0.124285999271605	0.00438159323859527	0.0530916888153914	0.0509738360691552	0.0138661632163808	0.130013109984422	0.0621585229581053	0.00548031897933194	0.240699612281539	0.0547579648067253	0.242655617420119	0.0112929715012962	0.0741003878188856	0.078081430133545	0.0578800456015149	0.0606970794950471
GA29	0.00329194726090822	0.00494652548381551	0.00318490923646922	0	0.00441460163130265	0.00458898604259535	0.0480712507710312	0.0674389966133267	0.00481487727709905	0.00560823884660924	0.00347411850610786	0.00645204006007524	0.00400440676862167	0.00408234779965227	0.00530950340202473	0.0731724149199447	0.0115582937882705	0.00613926933147013	0.00406281404594674	0.00396092531901568	0.105022385340146	0.131912654849014	0.221948001270342	0.0748150239914957	0.0044830454668651	0.0056209631729871	0.0535081980956925	0.133552366209151	0.123311396048527	0.00529407705956449	0.0312064440939764	0.0557133484293114	0.0271727575572452	0.0517693761397492	0.084622005395817	0.00416837889475353	0.0763944746418433	0.00861469699032228	0.0685579718438664	0.0379544853261023	0.166773703062173	0.0103203957956849	0.00486730301583355	0.0447525212710554	0.00389307356648843	0.105952134036055	0.096414651157278	0.0827276879789853	0.00966232023531138	0.0877315250761581	0.00649685097030467	0.0851303661863009	0.124120481237017	0.00479464800593283	0.0529485882231683	0.0508432620477797	0.0127983446976151	0.128802170958182	0.062014351363736	0.00565915998080839	0.240534089580931	0.054612361459118	0.24249008915039	0.0106045903327564	0.0739120348836436	0.0779177219127164	0.0577416843311353	0.0605244863063398
GA33	0.00574840492606539	0.00732336128295183	0.00445915185705279	0.00441460163130265	0	0.00382952403272455	0.0487030484158583	0.0690269361842762	0.00396118300139076	0.00452528320572743	0.00362963340188743	0.00543971656177268	0.00353884323578883	0.00389199694642101	0.00436525360092131	0.0740502235112768	0.0144973704591393	0.00503416506883999	0.00732707717888659	0.00366738818367153	0.105706084331479	0.13259634714235	0.222631697251339	0.0755052394939191	0.00372585915899224	0.00542704390145537	0.0539957699977388	0.134236056997318	0.124097350269857	0.00440038048257731	0.0323801192671362	0.0564467552108596	0.0284652831691383	0.0551367556732712	0.0853057055160253	0.00366827672243946	0.0770780342546376	0.010901112669157	0.0692923420833217	0.0388071921964486	0.167474967512217	0.0120495396449861	0.00409832755115466	0.0454099206912397	0.00395407068256213	0.106637353698413	0.0971149902301605	0.0833999787767728	0.0133213143362993	0.0884209482206239	0.00550450399903712	0.0860214317687834	0.124804177218013	0.00410204472008803	0.0536150263264926	0.0516019510575617	0.0158526726264619	0.13146573726577	0.0627001570255467	0.00469872484164726	0.241269009131374	0.0552844192193012	0.243180858667451	0.0134651769855709	0.0750975294245614	0.0785996113160644	0.0584277150907902	0.0620770577077914
GA40	0.00614934249527075	0.00781382504624851	0.00444779995031598	0.00458898604259535	0.00382952403272455	0	0.0479746046617176	0.0693988758656714	0.00133330656504455	0.00173044617611484	0.00293395120822213	0.00241713920923307	0.00154675592299706	0.00333861953454243	0.00145433041152593	0.0740878736280432	0.0147964767547268	0.00229760555602196	0.00753941372356782	0.00168821223449395	0.104893450484131	0.131783716982663	0.221819066339069	0.0747304006733678	0.00159575296276322	0.00440035502642694	0.0533832722541058	0.133423430826327	0.123534430608605	0.00154267818373163	0.0320116119327569	0.055722083407219	0.028102852479376	0.0552536185191135	0.0844930686583423	0.00205209667087683	0.0762653983000553	0.0109470534571117	0.0685807014580327	0.038232693298146	0.166714875535531	0.0129662291570143	0.00139217279854964	0.0445926959692228	0.00300246633523417	0.105840761252124	0.096353207347971	0.0825880393385887	0.0134257703003558	0.0876705484709354	0.00243290067671544	0.08552896600179	0.123991543521183	0.00182350317801606	0.0528070452914696	0.0511687856280442	0.0166434893817312	0.132899132190329	0.061925020859097	0.00172608932371077	0.240566406587158	0.0544748377769884	0.242371710111396	0.0141833446957547	0.074747897082507	0.07778781351417	0.0576775550014443	0.0621663898681149
GA47	0.0486883252031273	0.0464561215103275	0.0482132380282638	0.0480712507710312	0.0487030484158583	0.0479746046617176	0	0.0235898370920408	0.047749486422599	0.0479074382797034	0.0472134490582076	0.0474597623929231	0.0479000509537832	0.04865316312873	0.0477969993771327	0.0283146039912044	0.0404716096065863	0.0472938437955548	0.0489698557013815	0.047367617412649	0.0574440845109598	0.0843328263874006	0.174368146844585	0.027841413120805	0.0479948560547347	0.0454254629410277	0.00753924383951182	0.085972538274346	0.077128281873284	0.0477994666481861	0.017023169459079	0.00938116548691095	0.021067478261286	0.0104799224016718	0.0370464922879079	0.0474766931600041	0.0288193784371922	0.0406361319162328	0.0219293325725529	0.0103761408903702	0.119859578784066	0.0459633004484755	0.0478293501743765	0.00577188946772367	0.0467695475301959	0.0587328810131911	0.0494496132237743	0.0352663325352801	0.0430470699387969	0.0409333879937126	0.0479306541383266	0.0393322309046382	0.0765406463408109	0.0469947644330636	0.00684794920409625	0.00732463621181633	0.0483307723670897	0.12532622442402	0.015028740366394	0.0478048582344946	0.193969429141343	0.00807483884567075	0.195126607562556	0.043464753344053	0.029031852260232	0.0304541350577516	0.0111136844198248	0.0167565734802999
GA64	0.0677479346743738	0.0656066892875565	0.0681883114380668	0.0674389966133267	0.0690269361842762	0.0693988758656714	0.0235898370920408	0	0.0695737993927917	0.0702114387819863	0.0677901803318298	0.070392443187008	0.0689648446636369	0.0694828972671971	0.0699339154167007	0.0153699195755627	0.059940435105201	0.0698023032058369	0.0672372631126582	0.0686242238740728	0.0466151141533346	0.0730943883007223	0.163129714552802	0.016641806613541	0.0694650666355485	0.0672680262212801	0.0182842872754642	0.0747341013918019	0.0647238932098403	0.0699447091254923	0.0381583404736687	0.0150875727918864	0.0420590943910859	0.016847053222885	0.0258118114199	0.0684499890741074	0.0180595994767065	0.060345001255322	0.0129525156390637	0.0318693444885389	0.108003302957072	0.0654465001114089	0.0696535556755885	0.0269986024182854	0.0677041474240597	0.0471368462900923	0.0380880120163313	0.0253582021052187	0.0612749310981746	0.0300628722015053	0.0708837610001516	0.0268002305970047	0.0653040192720264	0.0686805037160714	0.0187665859350201	0.0193728540995807	0.0648031301721178	0.120329551248237	0.0132213199153693	0.0702071669652607	0.181823469472654	0.0166951416700025	0.183674796061082	0.0617231513288888	0.0159625366960436	0.0201200298645129	0.0137627597926467	0.0130192454612692
GA65	0.00648756018566965	0.00819824673141343	0.00472128675836656	0.00481487727709905	0.00396118300139076	0.00133330656504455	0.047749486422599	0.0695737993927917	0	0.00123531959320414	0.0031126224849787	0.00178263638923509	0.00148574668352435	0.00361984428897326	0.00102138955798632	0.0742141483257515	0.0151170080696995	0.00188643746657886	0.00799536545093011	0.0017866567904819	0.104652640118141	0.131542909250717	0.221578251382317	0.0745521898221488	0.0015224531649768	0.00439884358984089	0.0531543254325486	0.133182621890246	0.12343550036953	0.00108557070756194	0.032144272286031	0.0556023869701106	0.0282069524806557	0.0554682048733788	0.0842522591201946	0.00194694599603547	0.0760245867299311	0.0112487959647269	0.068366018321478	0.0381869929419322	0.166498267740914	0.0133593992113766	0.000995644538187377	0.0443580065938559	0.0031500025705265	0.105615668901891	0.0961392112452574	0.0823458374449701	0.0136808993181947	0.0874817223861964	0.00173946119844693	0.0854207613702976	0.12375073420881	0.00177356751630967	0.0525750522360657	0.0512140128723901	0.0170581868445181	0.133401126346805	0.0617052933031862	0.00120164498739633	0.240341863547913	0.0542661485948948	0.242170272150425	0.0146101608665453	0.0748676868400188	0.0775517150759697	0.0575202408086772	0.0624837390325888
GA67	0.00701294692393129	0.00859632630917159	0.00517629317920467	0.00560823884660924	0.00452528320572743	0.00173044617611484	0.0479074382797034	0.0702114387819863	0.00123531959320414	0	0.00379547289798431	0.00153980748908714	0.00201981812479246	0.00419237064973762	0.0010153545961455	0.074921040748707	0.0159180220404659	0.0018843712526664	0.00872110393406315	0.0023613422693443	0.104767323593901	0.131657594382161	0.221692936890053	0.0748388453038654	0.0020283600201627	0.00479318237172045	0.0532514139859363	0.133297304914455	0.123951489801961	0.00112038617248111	0.0328291168793885	0.0559833474231489	0.0289599877791573	0.0562757582902306	0.0843669440258633	0.00255153909066311	0.0761392720118918	0.0119793355474343	0.0688016186985705	0.0387943966144865	0.16684039629469	0.0138359746020852	0.00137053295747128	0.0444676812098484	0.00384553511170764	0.105830208746472	0.0964646998679999	0.0824602438945963	0.0144412840688319	0.0878170508928973	0.00145997269247906	0.0860236186270762	0.123865417910345	0.00209611415689002	0.0527031599647469	0.0518365907623912	0.0178116144273769	0.134160269390453	0.0619128918406939	0.00107928744590467	0.240822673897551	0.0544751207109051	0.242323789783198	0.0153234488744703	0.0755925875420522	0.0776774952507982	0.0578371173128335	0.0632825711309308
