	GA11	GA13	GA19	GA2	GA21	GA23	GA25	GA27	GA28	GA31	GA32	GA35	GA37	GA39	GA41	GA43	GA45	GA51	GA53	GA58	GA59	GA60	GA63	GA71	GA72	GA74	GA78	GA82	GA84	GA85	GA88	GA91	GA93	GB106	GB107	GB112	GB116	GB139	GB144	GB145	GB156	GB160	GB162	GB166	GB167	GB170	GB173	GB177	GB188	GB190	GB192	GB98	GCDF195	GCDF198	GCDF205	GCDF212	GCDF216	GCDF220	GCDF224	GCDF227	GCDF228	GCDF231	GCDF237	GCDF247	GCDF256	GCDF260	GCDF267	GCDF271	GCDF275	GCDF278	GCDF282	GCDF286
GA11	0	0.151711049273309	0.222922889374417	0.148966372058638	0.0994775050359103	0.136985176614476	0.218996895802299	0.127159615846896	0.403996498295755	0.156527931790992	0.09780762444765	0.143851611608018	0.135006232707681	0.119403631890005	0.178816430549184	0.116357886238283	0.209124964671304	0.12511657121579	0.10270540385345	0.0994775050359103	0.392756838991184	0.103928907432506	0.180663137097744	0.187968655655156	0.650192599705975	0.13358502614021	0.11682448118978	0.144824336475759	0.101830913193435	0.146738711034867	0.131402165412602	0.193351729754511	0.0994775050359103	0.108780463956689	0.0994775050359103	0.124561242759228	0.103217423519275	0.0994775050359103	0.138861784937255	0.169803292688095	0.0994775050359103	0.176105927474277	0.0994775050359103	0.150838584427809	0.224699571474709	0.0994775050359103	0.138774210568329	0.10938446129398	0.0994775050359103	0.101769124437298	0.102675048678798	0.127900277778859	0.213906245550724	0.121513468515325	0.169803292688095	0.126738722502553	0.10359405546193	0.354608143519874	0.141163659112467	0.210354118401549	0.137919845577828	0.144071223233083	0.11283281516757	0.120609495245476	0.123180589695233	0.112561356983305	0.132987389576751	0.123831887329656	0.200157594120083	0.123876644667375	0.137021897616164	0.112334192242219
GA13	0.151711049273309	0	0.180465942587365	0.125049324499236	0.0630516846372624	0.112257549520394	0.141197280770149	0.111359074486024	0.424679829767256	0.130932141509321	0.0667920421310371	0.1264433234629	0.108235312098957	0.0858338015022302	0.149038450133921	0.0900958750509855	0.195243423334276	0.0911917446764431	0.0663628401140673	0.0630516846372624	0.365391626201495	0.0705875828109606	0.151267662682015	0.152310828612459	0.656772747786358	0.101105412694089	0.100324821743098	0.144130246243393	0.0655350511837186	0.133548357890862	0.10255912680066	0.139996057714928	0.0630516846372624	0.072302160935119	0.0630516846372624	0.0942978941543837	0.0670198810032823	0.0630516846372624	0.131410953410045	0.141800954260609	0.0630516846372624	0.147793196198164	0.0630516846372624	0.120816634610446	0.153406333178282	0.0630516846372624	0.107135776825475	0.0736421922767403	0.0630516846372624	0.065535051164904	0.0661920924868548	0.0968260997812254	0.194258551179159	0.0883456956820958	0.141800954260609	0.0942276575310965	0.067019881341945	0.351800612879522	0.123213386783997	0.18919768767676	0.134138778585828	0.115570276185419	0.0830559836079677	0.0834609854477222	0.0969035425646739	0.0786549273426786	0.101905189247595	0.0986140785277868	0.162841538475318	0.0896205872936983	0.104040378253117	0.0797689946537668
GA19	0.222922889374417	0.180465942587365	0	0.210886235113698	0.166228126734495	0.207698811504124	0.1350174009085	0.198187902757917	0.431202350842832	0.221008076210215	0.169218023095957	0.211049122020903	0.191104948450106	0.183959025282864	0.224579275637451	0.178192159875926	0.253696084474072	0.190277730462828	0.168860470443362	0.166228126734495	0.398654444350137	0.171104908723271	0.237670860018092	0.225170249627395	0.645694151069179	0.198615684070521	0.196920279093614	0.231486082509762	0.168544572900341	0.208331345702813	0.199119798237025	0.17425086132881	0.166228126734495	0.174272768914399	0.166228126734495	0.189974941840075	0.169697287219642	0.166228126734495	0.218481578760677	0.234678953434482	0.166228126734495	0.239204254753963	0.166228126734495	0.215998775861932	0.1373070458684	0.166228126734495	0.202717206055167	0.175363892896308	0.166228126734495	0.168408494367443	0.169170510550641	0.193869692292022	0.270654604666763	0.186601258249897	0.234678953434482	0.190787180674949	0.167932089342914	0.365444936460317	0.213844805918258	0.25048616483356	0.220288287820012	0.208299873058092	0.180403281379529	0.17541840856876	0.186115927796698	0.179497921500694	0.199202979115224	0.188636964572725	0.210203722326292	0.188128891598546	0.186644967032756	0.178901266363083
GA2	0.148966372058638	0.125049324499236	0.210886235113698	0	0.071482596147542	0.119248828766021	0.201078873899097	0.109106873020981	0.413725732552885	0.136468060709762	0.0751969445111098	0.126908011762708	0.10277044016755	0.0890452013764944	0.150828143548822	0.0922361832638883	0.188789755557523	0.088906944042655	0.0726988187266721	0.071482596147542	0.377054849507833	0.0757340338231638	0.155838680839298	0.158431097902734	0.662417300421782	0.0953230889457645	0.104460866482119	0.149213905944818	0.0739892726067943	0.12653616110258	0.102351794113414	0.169368453474358	0.071482596147542	0.0781424424112445	0.071482596147542	0.0925247233662039	0.0754256214231554	0.071482596147542	0.133146916788937	0.122849561029462	0.071482596147542	0.142374265600335	0.071482596147542	0.114227699981344	0.206039246453932	0.071482596147542	0.0990786329288073	0.0797783157252001	0.071482596147542	0.0739430420175947	0.0730966085737402	0.100112431593046	0.192302754957869	0.0912525722700538	0.122849561029462	0.0965885254507414	0.0751612510419253	0.356516385319257	0.123561314730482	0.191599238438137	0.140741817822511	0.103249279274182	0.0858201234215739	0.0949763574759768	0.0989829222624651	0.0853123069185801	0.10055652345446	0.103011129414569	0.180655749025519	0.0949698252735114	0.10617790610125	0.0833354680940057
GA21	0.0994775050359103	0.0630516846372624	0.166228126734495	0.071482596147542	0	0.0583655812937503	0.149975270183399	0.0544060920600337	0.405804011105287	0.0766041208660663	0.00422932467225826	0.0716889150760541	0.0522069834699534	0.0267226553258646	0.102782004357626	0.0304083973169327	0.153679751988613	0.0297141796862236	0.00339590630145988	0	0.35615425609579	0.0084404857133073	0.0997750419521272	0.106875477264626	0.658032010902058	0.0408843352901514	0.0415461371944408	0.0926886100434895	0.00254692972609491	0.0839131055681994	0.0455999127165838	0.115628028382557	0	0.0101877188291213	0	0.0350713731551712	0.00424488280156646	0	0.0764085443671605	0.0840486797569978	0	0.094561510879283	0	0.0611263127489523	0.154199924583387	0	0.0483974935016548	0.0110366952539694	0	0.00254692965083652	0.00339590622620149	0.0371085645920633	0.147046349641651	0.0271672501106455	0.0840486797569978	0.0347193713779702	0.00424488280156646	0.32687067037279	0.0671660193439686	0.148200929729324	0.0801481817557354	0.0561980281890643	0.0216363103251265	0.0288205041427805	0.0365227343646264	0.0174120118220647	0.0411118674797542	0.0397456061339589	0.125788269056515	0.0288459444888914	0.0518862788725381	0.0186841650818936
GA23	0.136985176614476	0.112257549520394	0.207698811504124	0.119248828766021	0.0583655812937503	0	0.192966399789609	0.104924382623097	0.402054534867556	0.127245447156255	0.062131296015448	0.117034487426281	0.104638837146187	0.0780103471355908	0.149924260084376	0.0850229806671239	0.196253371133347	0.0849835164468698	0.0616502315558568	0.0583655812937503	0.377727411311082	0.0657424333909846	0.14789627087914	0.153357375431994	0.650960707905317	0.0953076823680389	0.0909168560133137	0.116426324321315	0.0607233862533714	0.134298654254338	0.0987460175246903	0.162685115040854	0.0583655812937503	0.0680350214242935	0.0583655812937503	0.0897958293707684	0.0625109083649486	0.0583655812937503	0.117976759626257	0.136018915572251	0.0583655812937503	0.143852814524011	0.0583655812937503	0.114286237518595	0.195683790257934	0.0583655812937503	0.101611437351264	0.0687228654784085	0.0583655812937503	0.0607586018552985	0.0616808349285463	0.0924971157287509	0.190816948735955	0.0827193329806882	0.136018915572251	0.0831181880350065	0.0623499036512592	0.35157623796752	0.102290341160213	0.178753904941859	0.115463479337367	0.11070129623392	0.0768904305731106	0.0844089691009786	0.0908005205782676	0.0740063064590548	0.0954020515723963	0.0942956138251707	0.171530303027895	0.0842862440593014	0.104862931927647	0.0747140256706813
GA25	0.218996895802299	0.141197280770149	0.1350174009085	0.201078873899097	0.149975270183399	0.192966399789609	0	0.190889778198919	0.431771983401944	0.206429232024785	0.153070332397791	0.203024812306118	0.184007994736535	0.17076431203991	0.214430125025712	0.166474527707606	0.251399151153035	0.175250990673749	0.15283856134523	0.149975270183399	0.375767786996533	0.156355905149019	0.225122078444169	0.222693058351676	0.642184715680402	0.185021045213245	0.182040586427908	0.217669663329919	0.152344661529618	0.204037984588532	0.183547997376834	0.164897477197828	0.149975270183399	0.158565143593634	0.149975270183399	0.176339425278282	0.153687537920595	0.149975270183399	0.206792907262541	0.221418725571247	0.149975270183399	0.226370763710954	0.149975270183399	0.202047125784436	0.080268453467976	0.149975270183399	0.188817583476052	0.159414120093741	0.149975270183399	0.151989584769865	0.15283856134523	0.179074984593933	0.26055787052169	0.173414214391901	0.221418725571247	0.176032341188855	0.153509999465461	0.356998531956865	0.199463466991379	0.241318982357931	0.210522310262678	0.196272270866867	0.166720420046888	0.157619860888732	0.174753093094838	0.163667867355274	0.18443390943411	0.181480620658458	0.193193315105005	0.17252433499453	0.169689572865444	0.163914000295629
GA27	0.127159615846896	0.111359074486024	0.198187902757917	0.109106873020981	0.0544060920600337	0.104924382623097	0.190889778198919	0	0.404189444100014	0.119822067443771	0.0582012769653264	0.115485252756061	0.0973341377320314	0.0756449787171953	0.138315337879414	0.0822530214232628	0.189774571193589	0.0826300032098185	0.0576195557686416	0.0544060920600337	0.359065216448572	0.0609455558499604	0.141975707703769	0.150850463903161	0.653845957433335	0.0929364161283681	0.0852860377894507	0.113160712550385	0.0568922075885113	0.130828364234832	0.0952955363976835	0.156236022560283	0.0544060920600337	0.0637619406022508	0.0544060920600337	0.0825768662334392	0.0582882194318856	0.0544060920600337	0.113494019183998	0.133882013685776	0.0544060920600337	0.141902035158692	0.0544060920600337	0.11220475116914	0.193832463048624	0.0544060920600337	0.0992778055558	0.0647174443372271	0.0544060920600337	0.056762139755066	0.0575624950832189	0.0885607157730573	0.182841768845765	0.0797477481943188	0.133882013685776	0.0841999864299791	0.0584523105485873	0.344146351395833	0.107207051605325	0.183659932660786	0.103478856497642	0.104969079634457	0.0689890228136621	0.0812433004717935	0.0862213513917393	0.0707698825445741	0.0924240867936551	0.0803722082355031	0.168796738120492	0.0811746870402736	0.10220528361999	0.0713222775081492
GA28	0.403996498295755	0.424679829767256	0.431202350842832	0.413725732552885	0.405804011105287	0.402054534867556	0.431771983401944	0.404189444100014	0	0.420754440354578	0.407316365928361	0.418422490207836	0.401415631927625	0.413275023752993	0.42959794612846	0.403008474996596	0.424786968363656	0.423856024639775	0.407817334087208	0.405804011105287	0.515930363024124	0.40859750831368	0.442249808347586	0.435382178034445	0.60634367574345	0.42953646694771	0.407790703755437	0.398871367928958	0.407325144518505	0.401947580202661	0.417693338610909	0.42224624722895	0.405804011105287	0.411825946033603	0.405804011105287	0.414934797720476	0.408095537863597	0.405804011105287	0.419885579684768	0.455745401707563	0.405804011105287	0.45193508718953	0.405804011105287	0.441838806927806	0.434068797814726	0.405804011105287	0.430385506514347	0.412393503568389	0.405804011105287	0.407437732273882	0.407732117206159	0.423427664270305	0.437950596062824	0.421849194951732	0.455745401707563	0.404595723808414	0.408276979820897	0.498343400280885	0.413210609796071	0.433556477830868	0.409193234461727	0.435986756676375	0.407299060713161	0.411089928463252	0.411100652181741	0.411319688715116	0.428090522536124	0.41473693558664	0.428038732572035	0.414881461045959	0.421802900957339	0.408573781300073
GA31	0.156527931790992	0.130932141509321	0.221008076210215	0.136468060709762	0.0766041208660663	0.127245447156255	0.206429232024785	0.119822067443771	0.420754440354578	0	0.0802197926019253	0.138179879146393	0.114949013661556	0.0943320293468658	0.161095328012839	0.103136317014243	0.203049356211918	0.103728537701748	0.079572053099371	0.0766041208660663	0.384899833587685	0.0817703987763386	0.15786667068423	0.169789952762199	0.656261966686056	0.114377059813852	0.112864925027496	0.154640639821688	0.0789260057299727	0.148833225170771	0.115795936096798	0.126713667949191	0.0766041208660663	0.0860537826412856	0.0766041208660663	0.103211649797029	0.0806272868443318	0.0766041208660663	0.136237817449552	0.154214327233006	0.0766041208660663	0.161466741275908	0.0766041208660663	0.132906018972698	0.210825160823085	0.0766041208660663	0.120004656790483	0.0868632287501988	0.0766041208660663	0.0789379252666476	0.0796970076896627	0.109434230662087	0.135607182038854	0.101691451958484	0.154214327233006	0.105130706791474	0.080650107558779	0.347419117737298	0.126720526773069	0.203576949885999	0.141043004175328	0.12653018720448	0.0945104579394213	0.101712525850444	0.101695241876925	0.0919858296072543	0.111366248492039	0.107603793625127	0.183980437597693	0.101930611795097	0.122798773281351	0.0927952688300248
