#SampleID	faith_pd
GA1	1.81734229667939
GA15	1.82923568555048
GA2	1.87797146463137
GA21	1.79691425956983
GA22	1.86370838986366
GA23	1.90520860607591
GA25	2.13286559061872
GA30	1.83381229978252
GA31	1.94120928321115
GA32	1.80454627157147
GA34	1.95620828964086
GA36	1.8386686248328
GA38	1.80742612134994
GA43	1.81446738161284
GA46	1.74809704109474
GA47	1.84361121981281
GA50	1.84543558211764
GA51	1.74809704109474
GA53	1.77860780264167
GA57	1.92687063010305
GA6	1.82214026920658
GA64	2.11795582350012
GA66	1.79438523214303
GA68	1.82699939505163
GA69	1.7773673909207
GA70	1.82923568555048
GA73	1.7553234510313
GA74	1.73884592870004
GA75	1.85676422964932
GA78	1.85037560652131
GA80	1.90968881184818
GA84	1.79538872149249
GA88	1.89409987939844
GA90	2.02234377466088
GA91	2.09576219076378
GA93	1.79691425956983
GB104	1.85050416031691
GB105	1.6827840301252
GB106	1.78165887879637
GB107	1.79691425956983
GB108	1.6827840301252
GB110	1.64588598991251
GB111	1.77250565033229
GB112	1.84644268956373
GB114	1.72549909629091
GB117	1.83381229978252
GB120	1.82837557628725
GB123	1.6827840301252
GB124	1.97138313572535
GB129	1.70843305108372
GB131	1.78278452088477
GB132	1.79386318341514
GB133	1.7892865691831
GB134	1.85404106107954
GB135	2.53828121517125
GB136	1.79691425956983
GB139	1.79691425956983
GB140	1.68658046306078
GB141	1.79691425956983
GB142	1.72198638758361
GB145	1.64588598991251
GB148	1.64588598991251
GB153	1.86998292504008
GB154	1.64588598991251
GB156	1.79691425956983
GB158	1.82465907131844
GB160	1.79475225723181
GB161	1.79691425956983
GB162	1.79691425956983
GB163	1.83381229978252
GB166	1.69165213223291
GB167	2.13766489534799
GB168	1.64588598991251
GB170	1.79386318341514
GB171	1.77403118840963
GB172	1.81703138093171
GB173	1.77189471531778
GB174	1.6827840301252
GB176	1.8200824570864
GB177	1.77708226456433
GB180	1.79386318341514
GB181	1.83228676170518
GB182	1.78346954323008
GB183	1.83228676170518
GB185	1.6827840301252
GB188	1.79691425956983
GB190	1.79538872149249
GB191	1.70538197492903
GB192	1.79081210726045
GB99	1.79233764533779
GCDF193	1.89090567188779
GCDF195	2.13511875876512
GCDF198	1.73436719839862
GCDF199	1.72979058416658
GCDF200	1.81438843795186
GCDF203	1.79143902855272
GCDF204	1.78776103110575
GCDF205	1.64588598991251
GCDF206	1.77098011225494
GCDF208	1.78346954323008
GCDF209	1.82366936323441
GCDF210	1.83228676170518
GCDF212	1.86056300880219
GCDF214	1.73589273647596
GCDF216	1.79081210726045
GCDF218	1.76037778362173
GCDF221	1.79691425956983
GCDF223	1.7285501724456
GCDF226	1.64588598991251
GCDF230	1.78470995495106
GCDF244	1.77708226456433
GCDF246	1.75906093399254
GCDF252	2.99832860109943
GCDF254	1.75378566317663
GCDF255	1.79496314106483
GCDF257	1.75078878837515
GCDF259	1.90453303323436
GCDF261	1.76818025900116
GCDF273	1.71911181762515
GCDF279	1.78165887879637
GCDF281	1.71716978151065
GCDF284	1.82048987273306
GCDF287	1.79233764533779
GCDF288	2.21373343782457
