	GA1	GA15	GA2	GA21	GA22	GA23	GA25	GA30	GA31	GA32	GA34	GA36	GA38	GA43	GA46	GA47	GA50	GA51	GA53	GA57	GA6	GA64	GA66	GA68	GA69	GA70	GA73	GA74	GA75	GA78	GA80	GA84	GA88	GA90	GA91	GA93	GB104	GB105	GB106	GB107	GB108	GB110	GB111	GB112	GB114	GB117	GB120	GB123	GB124	GB129	GB131	GB132	GB133	GB134	GB135	GB136	GB139	GB140	GB141	GB142	GB145	GB148	GB153	GB154	GB156	GB158	GB160	GB161	GB162	GB163	GB166	GB167	GB168	GB170	GB171	GB172	GB173	GB174	GB176	GB177	GB180	GB181	GB182	GB183	GB185	GB188	GB190	GB191	GB192	GB99	GCDF193	GCDF195	GCDF198	GCDF199	GCDF200	GCDF203	GCDF204	GCDF205	GCDF206	GCDF208	GCDF209	GCDF210	GCDF212	GCDF214	GCDF216	GCDF218	GCDF221	GCDF223	GCDF226	GCDF230	GCDF244	GCDF246	GCDF252	GCDF254	GCDF255	GCDF257	GCDF259	GCDF261	GCDF273	GCDF279	GCDF281	GCDF284	GCDF287	GCDF288
GA1	0	0.0357846645544274	0.0792512078063958	0.0136591190792093	0.0796949522889624	0.0649858440150215	0.158241058013054	0.0332889817466941	0.0841507532379844	0.0177845460071106	0.0936803208344212	0.0586977007827072	0.0799137629719094	0.0400218644527474	0.0403955179181966	0.0946790117093108	0.0543009770112206	0.0388411820085362	0.023775029137279	0.078044553183847	0.0269046239507846	0.144025190385303	0.0655850798945234	0.0633946904216451	0.0619400653310797	0.0357155991774617	0.0914724786210843	0.050358214293315	0.0531033124737065	0.049882285927206	0.0733604176778986	0.0144362871092979	0.0630249495081829	0.108601054007357	0.141358852085441	0.0136591190792093	0.0502464831477464	0.111388506537134	0.0220770762123243	0.0136591190792093	0.111388506537134	0.0933065734276868	0.0270273186492197	0.0556792761716578	0.0883026618435226	0.0332889817466941	0.0644920279431825	0.111388506537134	0.106753411994438	0.0606273384858864	0.0815809238513913	0.0153570722299393	0.0179040018055174	0.119512772770843	0.300424054566056	0.0136591190792093	0.0136591190792093	0.113085988382197	0.0136591190792093	0.10540593891508	0.0933065734276868	0.0933065734276868	0.0556677462476673	0.0933065734276868	0.0136591190792093	0.0382112823426723	0.0968231828601071	0.0136591190792093	0.0136591190792093	0.0332889817466941	0.0698942720438495	0.16128442654706	0.0933065734276868	0.0152134551393865	0.0263937675591671	0.0407252056392455	0.0629747233005485	0.111388506537134	0.0407069648305575	0.024408580678882	0.0153570720794225	0.0341208759657662	0.0603961668758079	0.0341208760410246	0.111388506537134	0.0136591190792093	0.0145080956545743	0.06218167424503	0.0169832166848761	0.0162060487300459	0.0600791295068433	0.164947812454869	0.0480363072469981	0.0505832364462843	0.0633402526980699	0.0579605378737353	0.018537553271862	0.0933065734276868	0.0261783422243716	0.0603961674214313	0.0517050487864198	0.0341208760410246	0.0459388839927587	0.0472591389158759	0.0153570719289057	0.0908095882358876	0.0136591190792093	0.086638873838114	0.0933065734276868	0.0186811700613812	0.0246240056373856	0.0736374102457605	0.446979386336876	0.0515937255601389	0.0518084510859817	0.0806756406984847	0.0991023126989603	0.0588394629232811	0.054828119097334	0.0203073144410596	0.0763714700711496	0.0376888626640794	0.0162060487300459	0.197674593991703
GA15	0.0357846645544274	0	0.087492257808194	0.0226166291971399	0.0562103525406182	0.0457884229418605	0.164675491288154	0.00249568297706469	0.0916053287195738	0.0266674731604078	0.101460952010721	0.0283174848917759	0.0514338738237969	0.0480644960859508	0.0492372470108247	0.0991669667489601	0.0240516159119028	0.0475916991367786	0.0325993610677695	0.086077710256131	0.0356025608312903	0.168726924693946	0.0766113595754811	0.0333879637823562	0.0299481968536521	0.00499136595412938	0.0600768312285043	0.0572502111094167	0.0635061507122685	0.0594588896692401	0.0437716213290138	0.0234485234162121	0.0712146191584943	0.124742760275952	0.147823770671631	0.0226166291971399	0.060077224096114	0.0798618588032144	0.0309355723850354	0.0226166291971399	0.0798618588032144	0.100037521503941	0.0359269380193166	0.0622638107437377	0.0565688162289485	0.00249568297706469	0.0727055595830233	0.0798618588032144	0.0793383576803737	0.0692209501873062	0.0938945877920799	0.0242804177293573	0.0267761004053884	0.086653204804117	0.304900588411273	0.0226166291971399	0.0226166291971399	0.119474294510755	0.0226166291971399	0.0756982250628297	0.100037521503941	0.100037521503941	0.0259951436609933	0.100037521503941	0.0226166291971399	0.00748704938274441	0.101594686320033	0.0226166291971399	0.0226166291971399	0.00249568297706469	0.0750806921284006	0.166883426596119	0.100037521503941	0.0242804177105427	0.035095043724986	0.00831894365826038	0.0680220251658348	0.0798618588032144	0.00831894313145166	0.0334312554185439	0.0242804178046157	0.00332757732783905	0.0266206196763299	0.00332757732783905	0.0798618588032144	0.0226166291971399	0.0234485234914705	0.0692391912782132	0.0259442063932768	0.02511231215539	0.06822990099288	0.171228066011511	0.0567242951894348	0.0559288825312949	0.0331262317862399	0.0641183997457377	0.0276079952641569	0.100037521503941	0.0367588324829786	0.0282844089799457	0.0212383179953604	0.00332757732783905	0.054478649764952	0.0526013056926354	0.02594420624276	0.0758946768826607	0.0226166291971399	0.0598963938578211	0.100037521503941	0.0292717835141553	0.0334312549293643	0.0399309290629445	0.440088547841467	0.0601865855055024	0.0203530212506802	0.0501745226934101	0.074888088411153	0.0657005488420978	0.0633976903151382	0.0309355723662208	0.0611291300279625	0.00976056359106242	0.0251123122306484	0.203629000319375
GA2	0.0792512078063958	0.087492257808194	0	0.0673321352500205	0.124518286286279	0.111926514476613	0.193542564645259	0.0851618045884551	0.130489104813097	0.0710769689152713	0.135130778745268	0.0994682765255372	0.11837788421021	0.0860230832577053	0.0791707273121133	0.133603725685842	0.100500435502541	0.079860568366418	0.0744878893360646	0.108900764599593	0.0753222499607187	0.18857943486761	0.104725050768166	0.10310789421577	0.103311775496813	0.0874505793732224	0.130062929213499	0.0940786743292002	0.0881653414343042	0.10069059066926	0.115436501932716	0.0680452122569385	0.0964184406053538	0.153387141291692	0.17995319876707	0.0673321352500205	0.100673893316075	0.137091706102394	0.0714108008289277	0.0673321352500205	0.137091706102394	0.120001158253713	0.0725252070097309	0.0940914753297664	0.122398587169521	0.0851618045884551	0.102745085550152	0.137091706102394	0.151472139463882	0.0944883424525309	0.124134675646671	0.0673321352500205	0.0684404101674304	0.152502584393428	0.325525961289502	0.0673321352500205	0.0673321352500205	0.137829596759996	0.0673321352500205	0.136561285290453	0.120001158253713	0.120001158253713	0.103958481903931	0.120001158253713	0.0673321352500205	0.0882783295831295	0.130073241437926	0.0673321352500205	0.0673321352500205	0.0851618045884551	0.103084213617775	0.197169874390267	0.120001158253713	0.0689973721111363	0.0744935529061941	0.0895470993010083	0.105596689206332	0.137091706102394	0.0881220339185963	0.0741772246217788	0.0688827901965741	0.0859936988075273	0.0983449471079641	0.0859936988827857	0.137091706102394	0.0673321352500205	0.0681811118253855	0.0958892783206521	0.0697412208061327	0.0676981884459354	0.104292392373236	0.192664143111971	0.0889160329983993	0.0914460821923885	0.110761431751378	0.0930575808754774	0.0703674474110206	0.120001158253713	0.0780907640365338	0.102026366769816	0.0965496055744212	0.0859936988827857	0.0918099696211743	0.0881413723332713	0.0705004766997364	0.125753417159572	0.0673321352500205	0.124430532181504	0.120001158253713	0.0724744655831595	0.07507766781356	0.109754525708279	0.464273976256149	0.0917249722688487	0.0957790446853397	0.118359773504463	0.142245686359026	0.0978904277876471	0.0935860200587547	0.0727506206380297	0.110314262410005	0.0892298567400436	0.0697228964794465	0.226886994609929
GA21	0.0136591190792093	0.0226166291971399	0.0673321352500205	0	0.0748116330742234	0.0551987160373517	0.14786294373599	0.0201209463894066	0.0720082462737055	0.00422932465344366	0.0820742851367803	0.045667796141722	0.0703816746333332	0.026362745373538	0.0271672497343535	0.0838394556853055	0.0414639141297702	0.0271672497343535	0.0101877185280877	0.0661882226816331	0.0135765501599044	0.152087467186379	0.056036665809877	0.050744408384116	0.0509010353360814	0.0226166291406961	0.0824947963760357	0.0387841366381958	0.04237347645591	0.0382698846209531	0.0606277764709008	0.00084897657536497	0.0507120488945282	0.106264719758371	0.130120831005501	0	0.0389058290406911	0.102478482054942	0.00848976552787453	0	0.102478482054942	0.0840486790796723	0.0135836249800644	0.0428622702343596	0.0791854412492477	0.0201209463894066	0.0550858707289503	0.102478482054942	0.0959636816623235	0.0492406403928092	0.0783700076016513	0.00169795315072994	0.00424488272630807	0.108341734856367	0.292993343237675	0	0	0.104110593973386	0	0.0964544871163489	0.0840486790796723	0.0840486790796723	0.043280807013313	0.0840486790796723	0	0.0251123123059068	0.0843742594047628	0	0	0.0201209463894066	0.0585793824207903	0.149975272441151	0.0840486790796723	0.00169795307547155	0.0127346484799578	0.0292717835705991	0.0500686428123953	0.102478482054942	0.027607994793792	0.0110366953292278	0.00169795300021316	0.0209528406084788	0.0475734583469051	0.0209528406837372	0.102478482054942	0	0.00084897657536497	0.0509385930919888	0.00339590607568471	0.00254692965083652	0.0475340356880968	0.154802674747477	0.0348080387621215	0.0373549683376996	0.0521762748484058	0.0449292376787976	0.00509385937693143	0.0840486790796723	0.0144326014801709	0.0475734588925285	0.0403845883680112	0.0209528406837372	0.033258111376052	0.0339590621114981	0.00339590600042632	0.080311380740669	0	0.0775216532438391	0.0840486790796723	0.00679181252766137	0.0110366949529359	0.0608837669621212	0.452219465465257	0.0401766213466122	0.038884040024696	0.071001284144292	0.0931018823287403	0.045916157012636	0.0432978039889625	0.00848976552787453	0.0635605595742512	0.0261663752749111	0.00254692965083652	0.18828787105252
GA22	0.0796949522889624	0.0562103525406182	0.124518286286279	0.0748116330742234	0	0.0942217803023981	0.206492690501189	0.0553784582651023	0.136136061126235	0.0785225479101593	0.144628230708115	0.0716451201776061	0.0918388786641034	0.0909828688723571	0.0847135368132531	0.140764999946561	0.0689079841090874	0.0807763378164082	0.0788373040091811	0.132988021981837	0.0866040338884399	0.188512915312642	0.109076703400022	0.0782958633746162	0.0701632358961635	0.0557545630468263	0.0861629509564602	0.0935498489951244	0.111185431066487	0.104084424072444	0.0909432252549162	0.0755585448233166	0.119280731192592	0.14924145145624	0.186419050425592	0.0748116330742234	0.109273060761166	0.092965817361167	0.0795635606980685	0.0748116330742234	0.092965817361167	0.112854155834125	0.077573219107257	0.107503076319141	0.0846289626576684	0.0553784582651023	0.113749572518046	0.092965817361167	0.123776361760166	0.0986135662956671	0.121233839616932	0.0746974118166801	0.0771555920140912	0.116506717196017	0.336022265029676	0.0748116330742234	0.0748116330742234	0.131845451628018	0.0748116330742234	0.0934793902372923	0.112854155834125	0.112854155834125	0.0757335415768503	0.112854155834125	0.0748116330742234	0.0585625776738831	0.127645651950981	0.0748116330742234	0.0748116330742234	0.0553784582651023	0.113155487473264	0.207635838500779	0.112854155834125	0.0760236889537838	0.0805526766737904	0.0610582606509478	0.0964189100483752	0.092965817361167	0.0594794540995299	0.0781464507107181	0.076416945950401	0.0562103526158766	0.0684115912276085	0.0560778904743869	0.092965817361167	0.0748116330742234	0.075643527368554	0.0929409738517169	0.076191236368484	0.0755767856508192	0.10443289111359	0.20812926539267	0.0922372923655943	0.0863040982171743	0.0713131126543187	0.100434845614463	0.07974452327824	0.112854155834125	0.0815855161559702	0.0741606301279983	0.0681294294619801	0.0560778904743869	0.104192224208905	0.0898128636933938	0.0759834537865839	0.100719495742309	0.0748116330742234	0.0818851952901994	0.112854155834125	0.0748463678502976	0.0768235770214086	0.0645380637260398	0.437332258983092	0.0923247387952576	0.0673583425543826	0.0790718579382607	0.0964805034525467	0.0977945296902849	0.0948280002169236	0.0760381762690917	0.0908024759229386	0.0608132638865047	0.0771903643064728	0.225590214133263
GA23	0.0649858440150215	0.0457884229418605	0.111926514476613	0.0551987160373517	0.0942217803023981	0	0.188554735252201	0.0433221457883565	0.120495099931805	0.0589900581504811	0.12876476578866	0.0677237588573586	0.090983434439157	0.0802436440882057	0.0808933869267654	0.131650765421753	0.0633547745569788	0.0811693993858015	0.0648091175979135	0.10134211803476	0.0674378958041544	0.173746720031656	0.103881042356593	0.0723978412911446	0.0727824666208089	0.0456857605827878	0.103583303684689	0.0917784107491525	0.0932434992582509	0.0803531440294752	0.0818894928452945	0.0560012044140486	0.101257993999605	0.13802808342558	0.174431559846106	0.0551987160373517	0.0902258038633701	0.120827276146773	0.0635553844875157	0.0551987160373517	0.120827276146773	0.133032384375581	0.0681354084400216	0.0944351901422546	0.100018529992814	0.0433221457883565	0.105809113594017	0.120827276146773	0.114896905843658	0.101752747151286	0.124433493392185	0.0567371474785937	0.0592786519966944	0.126702525699982	0.321747698868164	0.0551987160373517	0.0551987160373517	0.150846809205232	0.0551987160373517	0.114791107702662	0.133032384375581	0.133032384375581	0.0651136521964964	0.133032384375581	0.0551987160373517	0.0480915366135763	0.132033671581685	0.0551987160373517	0.0551987160373517	0.0433221457883565	0.108921964718687	0.191265685954178	0.133032384375581	0.0567729353829466	0.0655025798037197	0.0523576205314109	0.101801379913031	0.120827276146773	0.0503990168899599	0.0656215696586202	0.0568312779257093	0.0441057311389783	0.0695989923457606	0.0441540401391309	0.120827276146773	0.0551987160373517	0.0560306103316822	0.101639740112605	0.0584950666084434	0.057539635836476	0.0976802093927005	0.194697835604952	0.0880053443551967	0.0904068666124585	0.0735637532039122	0.0956355582809809	0.0597547475210946	0.133032384375581	0.0688114956472859	0.069412129714784	0.0630324021772002	0.0441540401391309	0.0752052009256199	0.0873098384701844	0.0582125758507637	0.111204100960884	0.0551987160373517	0.0967980734251364	0.133032384375581	0.0616176273259852	0.0658872408999337	0.0827057205441624	0.436155902917939	0.0931730393809502	0.0632862197517446	0.0903547006198252	0.108100217136771	0.0978948703092156	0.0944918464831632	0.0632004460150545	0.0984994894401594	0.0502717211428616	0.057680877565284	0.22552618023121
GA25	0.158241058013054	0.164675491288154	0.193542564645259	0.14786294373599	0.206492690501189	0.188554735252201	0	0.162693366370719	0.20078000072578	0.150973984242577	0.184743181209673	0.179117108836319	0.188404382611013	0.166659486188431	0.170769272353312	0.214254833946023	0.178285836834799	0.171124348736773	0.156807893228651	0.197688459635082	0.157838177006466	0.261781545751023	0.192108466092384	0.187018061959834	0.188851431745923	0.165017863133489	0.215330517051196	0.180925592065159	0.173226599816722	0.17722043929377	0.191469333445032	0.148534381780962	0.185567384077744	0.226949598000507	0.151581760796935	0.14786294373599	0.177024956754964	0.233067878945307	0.155287478457798	0.14786294373599	0.233067878945307	0.219483934944928	0.15913856940137	0.181205245393394	0.213540931956636	0.162693366370719	0.18367146775879	0.233067878945307	0.219941695756984	0.189824509575511	0.211256283401239	0.149205820428001	0.151575211548444	0.212308034564208	0.286606703442757	0.14786294373599	0.14786294373599	0.234257243799441	0.14786294373599	0.226956134304555	0.219483934944928	0.219483934944928	0.180040843860067	0.219483934944928	0.14786294373599	0.166657615904555	0.216455885425511	0.14786294373599	0.14786294373599	0.162693366370719	0.198098020722168	0.0908300942844815	0.219483934944928	0.149383358281068	0.158644669736275	0.170474715624945	0.188415309583599	0.233067878945307	0.169153298806361	0.157301793796848	0.149205820126967	0.163354074676531	0.185695041667181	0.163525260665049	0.233067878945307	0.14786294373599	0.148534381780962	0.191700000955601	0.150726235048337	0.15023233500695	0.183934147460292	0.265281414519055	0.177699908313125	0.179891760301108	0.18882132186131	0.183845498420373	0.151891572457371	0.219483934944928	0.160165085109195	0.186722157146744	0.179348686992219	0.163525260665049	0.171999988362494	0.176850930458367	0.150903773202439	0.192786927243243	0.14786294373599	0.211705956551613	0.219483934944928	0.154299679503898	0.156769178882994	0.197122303580846	0.478949138311425	0.181789202747321	0.17874665287408	0.206218906894627	0.219906595902461	0.186529106262958	0.184591827217979	0.155109940679988	0.200274163123333	0.167938415995902	0.150054796627074	0.289704570415044
GA30	0.0332889817466941	0.00249568297706469	0.0851618045884551	0.0201209463894066	0.0553784582651023	0.0433221457883565	0.162693366370719	0	0.0894030060318082	0.0241821339786655	0.0994561548636417	0.0258218019147112	0.0506019793977641	0.0456505995243788	0.0467415642030913	0.101376166529577	0.0216144088542823	0.0467415641654622	0.0301036782600362	0.0837801934944259	0.0331652045927264	0.166608331329895	0.0745659169524607	0.0308922808052915	0.0307800911291681	0.00249568297706469	0.062572514205569	0.0580644489764565	0.0610104679045352	0.0570381886203482	0.0412759383519491	0.0209528406084788	0.0688736431977966	0.122472646015913	0.145594614510885	0.0201209463894066	0.057638731136015	0.0823575417802791	0.0284398895773021	0.0201209463894066	0.0823575417802791	0.102478482054942	0.0334312552115833	0.0614738710262258	0.0590644992060132	0	0.0735009724481238	0.0823575417802791	0.0773186051108018	0.0683708152159898	0.0963355483430805	0.021784734921624	0.0242804175976551	0.0891488877811817	0.303143449805	0.0201209463894066	0.0201209463894066	0.121753928637264	0.0201209463894066	0.0764941753857214	0.102478482054942	0.102478482054942	0.023584182552918	0.102478482054942	0.0201209463894066	0.00499136640567972	0.102144468237053	0.0201209463894066	0.0201209463894066	0	0.0775216526794012	0.164730115690165	0.102478482054942	0.0217847349028094	0.0325993609172527	0.00915083793377636	0.0688410103321075	0.0823575417802791	0.00748704885593568	0.0309355726108105	0.0217847349968824	0.00083189435077436	0.0274525139518458	0.00083189435077436	0.0823575417802791	0.0201209463894066	0.0209528406837372	0.0700346039927969	0.0234485235855435	0.0226166293476567	0.0658445092426105	0.169280035101404	0.0542286123817015	0.0567242952458786	0.0322745216944528	0.0637784733465224	0.0251123124564236	0.102478482054942	0.0342631496752452	0.0274525147044297	0.0204064235693277	0.00083189435077436	0.0520932200844541	0.0533967184072191	0.0234485234350267	0.0767265713651373	0.0201209463894066	0.0574007108807564	0.102478482054942	0.026776100706422	0.030935572121631	0.0407628234889772	0.440269315483594	0.0593361044396656	0.021184915676713	0.0509378050613885	0.074056194135637	0.0648504138707814	0.0625475553438218	0.0284398895584875	0.0636065721963391	0.00726488061399773	0.0226166294229151	0.201595519829278
GA31	0.0841507532379844	0.0916053287195738	0.130489104813097	0.0720082462737055	0.136136061126235	0.120495099931805	0.20078000072578	0.0894030060318082	0	0.0756606250728546	0.141231387928881	0.112407613056477	0.134947790566719	0.0957086306968422	0.0971170484906796	0.145110230328459	0.106663346553993	0.0973938105985372	0.0815342524361731	0.129715202997128	0.0837648903405425	0.204684275117787	0.119707727052196	0.117058865725994	0.118032863137848	0.0918017855723097	0.146945696173593	0.107754648540809	0.109295054254207	0.1050501207473	0.125724543450457	0.0727530991790271	0.115991795868284	0.161428272517191	0.147978987789365	0.0720082462737055	0.106194452034554	0.165937479171488	0.0800465018384987	0.0720082462737055	0.165937479171488	0.150004727822362	0.0845062493939291	0.106398159130053	0.144163270885445	0.0894030060318082	0.121328089724887	0.165937479171488	0.154637276524245	0.117527042844831	0.142795396987537	0.0735953373063092	0.0760559466752139	0.168732338274519	0.33029649384094	0.0720082462737055	0.0720082462737055	0.166125824129341	0.0720082462737055	0.159858445740408	0.150004727822362	0.150004727822362	0.109558161122329	0.150004727822362	0.0720082462737055	0.0940612475528862	0.148290781266611	0.0720082462737055	0.0720082462737055	0.0894030060318082	0.126072850210047	0.202748382821529	0.150004727822362	0.073543233853398	0.083769683886056	0.0978912552160145	0.117396494223162	0.165937479171488	0.0963368350922158	0.0822156149555336	0.0736355285978678	0.0901346771291109	0.114875694887355	0.0901210707132563	0.165937479171488	0.0720082462737055	0.0727967623658855	0.119306518404622	0.0750800221029556	0.0743177267487603	0.11087104981069	0.15630678177783	0.104525339723837	0.106601338494908	0.118408957496285	0.109553252901844	0.0767152453161249	0.150004727822362	0.0856812999706076	0.115068545376863	0.107258956804119	0.0901210707132563	0.0994586136304971	0.103273211780823	0.0753334816168956	0.144708447346483	0.0720082462737055	0.142842817468324	0.150004727822362	0.0785098221303538	0.0820833738479349	0.127163900927913	0.475551484510152	0.108666415260446	0.106986012121644	0.136843409577403	0.15182481937562	0.112519727737615	0.112015054871639	0.0798308104276657	0.129930068033211	0.095099713935545	0.0743144836389657	0.231036142718912
GA32	0.0177845460071106	0.0266674731604078	0.0710769689152713	0.00422932465344366	0.0785225479101593	0.0589900581504811	0.150973984242577	0.0241821339786655	0.0756606250728546	0	0.0857250361910297	0.0495743563379904	0.0741771782061668	0.0304160294395806	0.0312816749863101	0.0838167313674484	0.0453860883347013	0.0312816751979743	0.0143739560035744	0.0698822260730796	0.0153789894768234	0.155132347586179	0.0599299791466558	0.0546269444654686	0.0548346519771249	0.0266674732356662	0.0862618143096416	0.0428365631395894	0.0462889470338746	0.0422130746654037	0.0643888119081355	0.00507471062750979	0.0545265233153571	0.10966640878751	0.133367852129117	0.00422932465344366	0.0428414743092626	0.106198330419232	0.0126831842812173	0.00422932465344366	0.106198330419232	0.087922533202653	0.0177554998151732	0.0467722293676225	0.0830018302105894	0.0241821339786655	0.0589548169042576	0.106198330419232	0.0994372979709596	0.0532617093618922	0.0821444995212133	0.00592009645105913	0.00845625428859182	0.111889848523218	0.295117030240069	0.00422932465344366	0.00422932465344366	0.107817871627784	0.00422932465344366	0.100169542104457	0.087922533202653	0.087922533202653	0.0471650451195963	0.087922533202653	0.00422932465344366	0.0291528126808128	0.0881075117633575	0.00422932465344366	0.00422932465344366	0.0241821339786655	0.0625609548132152	0.153070336917998	0.087922533202653	0.00592009652161388	0.0169101137846633	0.0332950446190256	0.0540133722578034	0.106198330419232	0.0316381517684821	0.0152193420576026	0.00592009645105913	0.025010580366308	0.0515208663701108	0.0250105804227518	0.106198330419232	0.00422932465344366	0.0050747105522514	0.0549524812912098	0.00761086831922935	0.00676548249097635	0.051380158331471	0.157838593528728	0.0388901482966512	0.0414263061247766	0.0546455781041372	0.0488900908532392	0.00930164054487691	0.087922533202653	0.0186008856434262	0.051520866313667	0.0443356031683659	0.0250105804227518	0.0372151834184699	0.0380447626001004	0.00761086831922935	0.0841034047747727	0.00422932465344366	0.0813449376798941	0.087922533202653	0.0109924122013829	0.0152193416201632	0.0647760087793524	0.453577170167306	0.0442033398642459	0.0428725262925104	0.0748411722932801	0.0966704704356615	0.0498952128209475	0.0473440075575402	0.0126831841307005	0.0674829889568641	0.0302050747871023	0.00676548256623474	0.191076698026272
