	GA11	GA13	GA19	GA2	GA21	GA23	GA25	GA27	GA28	GA31	GA32	GA35	GA37	GA39	GA41	GA43	GA45	GA51	GA53	GA58	GA59	GA60	GA63	GA71	GA72	GA74	GA78	GA82	GA84	GA85	GA88	GA91	GA93	GB106	GB107	GB112	GB116	GB139	GB144	GB145	GB156	GB160	GB162	GB166	GB167	GB170	GB173	GB177	GB188	GB190	GB192	GB98	GCDF195	GCDF198	GCDF205	GCDF212	GCDF216	GCDF220	GCDF224	GCDF227	GCDF228	GCDF231	GCDF237	GCDF247	GCDF256	GCDF260	GCDF267	GCDF271	GCDF275	GCDF278	GCDF282	GCDF286
GA11	0	0.0552617079889807	0.0991368227731864	0.149256198347107	0.166354453627181	0.0462258953168044	0.150835629017447	0.16951331496786	0.167235996326906	0.0773370064279156	0.224003673094582	0.172139577594123	0.257116620752984	0.267676767676768	0.233516988062442	0.162791551882461	0.163875114784206	0.0832323232323233	0.110027548209366	0.0941230486685032	0.115794306703398	0.291056014692378	0.165215794306703	0.116473829201102	0.269439853076217	0.108429752066116	0.116657483930211	0.219724517906336	0.234986225895317	0.173351698806244	0.189641873278237	0.0468503213957759	0.0470523415977961	0.0542883379247016	0.0612855831037649	0.117318640955005	0.147548209366391	0.13425160697888	0.181359044995409	0.121873278236915	0.0403122130394858	0.129917355371901	0.166042240587695	0.193957759412305	0.0633241505968779	0.120348943985308	0.11742883379247	0.173902662993572	0.0436179981634527	0.144370982552801	0.221432506887052	0.23346189164371	0.172066115702479	0.187511478420569	0.0979063360881543	0.0706152433425161	0.124077134986226	0.135941230486685	0.236565656565657	0.175794306703398	0.273737373737374	0.19247015610652	0.22455463728191	0.100808080808081	0.11742883379247	0.157851239669421	0.0889623507805326	0.19682277318641	0.0831772268135904	0.216143250688705	0.0494582185491277	0.219742883379247
GA13	0.0552617079889807	0	0.117924701561065	0.170119375573921	0.184389348025712	0.0551331496786042	0.168466483011938	0.187603305785124	0.185509641873278	0.0952249770431589	0.245068870523416	0.192690541781451	0.276271808999082	0.288374655647383	0.254325068870523	0.18297520661157	0.182038567493113	0.102497704315886	0.129752066115703	0.111533516988062	0.130431588613407	0.309568411386593	0.183067033976125	0.13465564738292	0.287217630853995	0.129219467401286	0.136382001836547	0.238585858585859	0.254839302112029	0.193112947658402	0.207952249770432	0.0337557392102847	0.058732782369146	0.0360514233241506	0.0356106519742884	0.136051423324151	0.166519742883379	0.152727272727273	0.200367309458219	0.142258953168044	0.0337924701561065	0.150505050505051	0.184609733700643	0.21404958677686	0.0806611570247934	0.139761248852158	0.137539026629936	0.194343434343434	0.0485399449035813	0.164315886134068	0.241414141414142	0.257043158861341	0.190156106519743	0.207952249770432	0.119118457300275	0.088356290174472	0.144040404040404	0.155298438934803	0.256620752984389	0.196106519742883	0.293902662993572	0.21307621671258	0.24475665748393	0.121138659320478	0.136345270890726	0.177685950413223	0.10910927456382	0.217208448117539	0.1021854912764	0.236418732782369	0.0629568411386593	0.238879706152433
GA19	0.0991368227731864	0.117924701561065	0	0.0654545454545455	0.078236914600551	0.0785307621671258	0.0631221303948577	0.0825160697887971	0.0871808999081727	0.0476216712580349	0.138530762167126	0.0876216712580349	0.169862258953168	0.182258953168044	0.14811753902663	0.0768962350780533	0.0988246097337006	0.0499908172635445	0.0369329660238751	0.0584573002754821	0.0854361799816345	0.203011937557392	0.0805325987144169	0.0483195592286501	0.192929292929293	0.0389348025711662	0.0418916437098255	0.132341597796143	0.1489072543618	0.0898255280073462	0.101046831955923	0.110707070707071	0.0691827364554637	0.11979797979798	0.130927456382002	0.0395224977043159	0.0621854912764003	0.0480808080808081	0.0961799816345271	0.04178145087236	0.100257116620753	0.0495133149678604	0.0808999081726355	0.108209366391185	0.0555739210284664	0.0403673094582185	0.037722681359045	0.0882277318640955	0.0834527089072544	0.0605325987144169	0.135518824609734	0.150872359963269	0.0852525252525252	0.102203856749311	0.0351147842056933	0.0487235996326905	0.0477869605142333	0.0543250688705234	0.150615243342516	0.0905785123966942	0.187860422405877	0.106997245179063	0.138659320477502	0.0378512396694215	0.0415977961432507	0.0734618916437098	0.0451606978879706	0.1110927456382	0.0377594123048669	0.130523415977961	0.0730394857667585	0.132653810835629
GA2	0.149256198347107	0.170119375573921	0.0654545454545455	0	0.0390817263544536	0.127695133149679	0.0355922865013774	0.0426446280991736	0.064315886134068	0.0881359044995408	0.08455463728191	0.044811753902663	0.115078053259871	0.124003673094582	0.0899173553719008	0.0335720844811754	0.0970431588613406	0.0787511478420569	0.0488888888888889	0.0956473829201102	0.11188246097337	0.147566574839302	0.0507805325987144	0.0547474747474748	0.17504132231405	0.0507805325987144	0.0448852157943067	0.0825528007346189	0.0942148760330579	0.0495316804407713	0.0536455463728191	0.161652892561984	0.123636363636364	0.171588613406795	0.189348025711662	0.0489623507805326	0.0338292011019284	0.032157943067034	0.0648668503213958	0.0416896235078053	0.14831955922865	0.0370064279155188	0.0481910009182736	0.0550229568411386	0.0964187327823691	0.0416896235078053	0.0432690541781451	0.0383287419651056	0.139522497704316	0.0321946740128558	0.0818916437098255	0.0921212121212121	0.0448852157943067	0.0504499540863177	0.0594674012855831	0.0895500459136823	0.0429935720844812	0.0410468319559229	0.0938842975206612	0.0414325068870523	0.129329660238751	0.0517171717171717	0.0824058769513315	0.0570247933884298	0.0461340679522498	0.0370431588613407	0.0707988980716254	0.0562534435261708	0.0745821854912764	0.0772635445362718	0.113774104683196	0.0801469237832874
GA21	0.166354453627181	0.184389348025712	0.078236914600551	0.0390817263544536	0	0.143489439853076	0.0375941230486685	0.0342699724517906	0.0670339761248852	0.103581267217631	0.0656749311294766	0.0384205693296602	0.0951147842056933	0.107199265381084	0.0737006427915519	0.0297337006427916	0.0988797061524334	0.100036730945822	0.0655831037649219	0.109807162534435	0.126225895316804	0.127842056932966	0.0553351698806244	0.0693480257116621	0.170560146923783	0.0689256198347107	0.0615426997245179	0.0606978879706152	0.0751515151515151	0.0504315886134068	0.0372451790633609	0.176767676767677	0.138181818181818	0.188374655647383	0.20157943067034	0.0636179981634527	0.0322497704315886	0.0357943067033976	0.040771349862259	0.0594306703397613	0.163434343434343	0.0493847566574839	0.0303581267217631	0.0411202938475666	0.113480257116621	0.0538659320477502	0.0593021120293847	0.0287419651056015	0.153223140495868	0.0427180899908173	0.0633241505968779	0.0765656565656566	0.043544536271809	0.0376859504132231	0.079228650137741	0.105711662075298	0.0604591368227732	0.0537373737373737	0.0760514233241506	0.0364187327823691	0.113057851239669	0.043801652892562	0.0649770431588613	0.0749862258953168	0.0634159779614325	0.034435261707989	0.0937557392102847	0.0429017447199265	0.0922497704315886	0.0592102846648301	0.133645546372819	0.0600367309458219
GA23	0.0462258953168044	0.0551331496786042	0.0785307621671258	0.127695133149679	0.143489439853076	0	0.127346189164371	0.146446280991736	0.145050505050505	0.0574471992653811	0.203158861340679	0.150596877869605	0.234288337924702	0.245730027548209	0.211717171717172	0.140606060606061	0.142607897153352	0.0632506887052342	0.0880808080808081	0.0744536271808999	0.0991000918273646	0.267750229568411	0.141799816345271	0.0936088154269972	0.246574839302112	0.0873829201101928	0.0942332415059688	0.197171717171717	0.212653810835629	0.1510927456382	0.166280991735537	0.0484481175390266	0.0341597796143251	0.0579063360881543	0.0675114784205693	0.0955188246097337	0.125674931129477	0.112488521579431	0.16119375573921	0.100091827364555	0.0414508723599633	0.108943985307622	0.144609733700643	0.171919191919192	0.0441322314049587	0.0988797061524334	0.0958126721763086	0.152231404958678	0.0322681359044995	0.122020202020202	0.199247015610652	0.2144536271809	0.148576675849403	0.166152433425161	0.0773370064279155	0.0517722681359045	0.102130394857668	0.11406795224977	0.21425160697888	0.153774104683196	0.251790633608815	0.170560146923783	0.202460973370064	0.0786776859504132	0.0952066115702479	0.135775941230487	0.0684113865932048	0.175078053259871	0.0617263544536272	0.1944536271809	0.0367860422405877	0.197061524334252
GA25	0.150835629017447	0.168466483011938	0.0631221303948577	0.0355922865013774	0.0375941230486685	0.127346189164371	0	0.0364187327823692	0.0603489439853076	0.0845179063360881	0.0839302112029384	0.046060606060606	0.114435261707989	0.128925619834711	0.0956290174471993	0.0365840220385675	0.0907621671258035	0.0845179063360882	0.0517539026629936	0.0881359044995409	0.106023875114784	0.146170798898072	0.0444260789715335	0.0527823691460055	0.164260789715335	0.0540495867768595	0.0488337924701561	0.0819283746556474	0.0960330578512397	0.0501928374655647	0.048870523415978	0.161267217630854	0.122277318640955	0.173810835629017	0.183103764921947	0.0522681359044996	0.0327089072543618	0.0299908172635445	0.0567493112947659	0.0461707988980716	0.147676767676768	0.042038567493113	0.0453810835629017	0.0587511478420569	0.0964003673094582	0.0409550045913682	0.0465197428833793	0.0418549127640037	0.137943067033976	0.0336271808999082	0.0840955004591368	0.0973186409550046	0.0415426997245179	0.0536822773186409	0.0644444444444444	0.0894949494949495	0.0461340679522498	0.0436179981634527	0.0971717171717171	0.0451423324150597	0.134012855831038	0.0574104683195592	0.0857667584940312	0.0601469237832875	0.0488154269972452	0.0380716253443526	0.0772635445362718	0.060257116620753	0.0770615243342516	0.080257116620753	0.117887970615243	0.0782001836547291
GA27	0.16951331496786	0.187603305785124	0.0825160697887971	0.0426446280991736	0.0342699724517906	0.146446280991736	0.0364187327823692	0	0.0647199265381084	0.103746556473829	0.0671441689623508	0.0410651974288338	0.0949127640036732	0.10870523415978	0.0757575757575758	0.0348576675849403	0.101652892561983	0.0988429752066116	0.066317722681359	0.108466483011938	0.126464646464646	0.126813590449954	0.0484481175390266	0.0665197428833793	0.164738292011019	0.0703581267217631	0.0611937557392103	0.0658769513314968	0.0785307621671258	0.0436730945821855	0.0381450872359963	0.18020202020202	0.14119375573921	0.192102846648301	0.204058769513315	0.0680073461891644	0.04178145087236	0.0433241505968779	0.0517539026629936	0.0591368227731864	0.165766758494031	0.053939393939394	0.0433608815426997	0.0451790633608816	0.113847566574839	0.0567493112947658	0.0625160697887971	0.0331313131313131	0.15702479338843	0.0400183654729109	0.0668503213957759	0.0770615243342516	0.0408631772268136	0.0432323232323232	0.0807162534435262	0.107346189164371	0.0588246097337007	0.0571533516988062	0.0786042240587695	0.0382552800734619	0.112213039485767	0.0439302112029385	0.0671992653810836	0.0758126721763085	0.061763085399449	0.0381267217630854	0.0913498622589532	0.0446280991735537	0.0943434343434343	0.0636730945821855	0.135463728191001	0.0620936639118458
GA28	0.167235996326906	0.185509641873278	0.0871808999081727	0.064315886134068	0.0670339761248852	0.145050505050505	0.0603489439853076	0.0647199265381084	0	0.103140495867769	0.107695133149679	0.0730945821854913	0.13900826446281	0.151349862258953	0.11821854912764	0.0685399449035812	0.103636363636364	0.0998163452708907	0.0754820936639118	0.109788797061524	0.126685032139578	0.170247933884298	0.0642424242424242	0.0747107438016529	0.173406795224977	0.079742883379247	0.0735537190082645	0.107033976124885	0.120459136822773	0.0681359044995408	0.0746372819100092	0.178659320477502	0.139247015610652	0.190247933884298	0.20257116620753	0.0788429752066116	0.0685583103764922	0.0674012855831038	0.08910927456382	0.0720477502295684	0.164370982552801	0.07267217630854	0.079742883379247	0.0839853076216713	0.113645546372819	0.070376492194674	0.0753168044077135	0.0700091827364555	0.154931129476584	0.0592837465564738	0.107750229568411	0.119485766758494	0.0647382920110193	0.080514233241506	0.0876216712580349	0.106960514233241	0.0677134986225895	0.0712213039485767	0.121157024793388	0.0725252525252525	0.156143250688705	0.0795224977043159	0.108980716253444	0.0810651974288338	0.0724885215794307	0.0651056014692379	0.0929843893480257	0.0842791551882461	0.096198347107438	0.104885215794307	0.133700642791552	0.102332415059688
GA31	0.0773370064279156	0.0952249770431589	0.0476216712580349	0.0881359044995408	0.103581267217631	0.0574471992653811	0.0845179063360881	0.103746556473829	0.103140495867769	0	0.158549127640037	0.111019283746556	0.188999081726354	0.203269054178145	0.169403122130395	0.102222222222222	0.110358126721763	0.0387695133149679	0.0528558310376492	0.0430670339761249	0.0731864095500459	0.220697887970615	0.0936822773186409	0.052157943067034	0.203471074380165	0.053921028466483	0.0562901744719927	0.155629017447199	0.170872359963269	0.106868686868687	0.120110192837466	0.0879338842975207	0.0545821854912764	0.0998530762167126	0.109954086317723	0.062277318640955	0.0884848484848485	0.0775941230486685	0.127291092745638	0.0606060606060606	0.0746923783287419	0.072415059687787	0.112194674012856	0.130982552800735	0.0363820018365473	0.0605693296602388	0.0601285583103765	0.111239669421488	0.0663544536271809	0.0802938475665748	0.158053259871442	0.172323232323232	0.102736455463728	0.125895316804408	0.0478787878787879	0.0375573921028467	0.0618732782369146	0.0769880624426079	0.171808999081726	0.113296602387512	0.208337924701561	0.12852157943067	0.159816345270891	0.046574839302112	0.0579063360881543	0.0952800734618917	0.0409917355371901	0.13287419651056	0.0394490358126722	0.153608815426997	0.0490174471992654	0.153149678604224
